,GenBankAccession,Country,Host,CollectionDate,Serotype,Strain,Isolate,IsolationSource
71,MH559801,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-30_A24/NAS/48hpe,Unknown
72,MH559800,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-29_A24/VES2/72hpe,Unknown
73,MH559799,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-29_A24/VES1/72hpe,Unknown
74,MH559798,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-29_A24/LUNG2/72hpe,Unknown
75,MH559797,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-29_A24/LUNG1/72hpe,Unknown
76,MH559796,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-29_A24/NP1/72hpe,Unknown
77,MH559795,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-29_A24/NAS/72hpe,Unknown
78,MH559794,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-29_A24/SER/72hpe,Unknown
79,MH559793,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-29_A24/SER/24hpe,Unknown
80,MH559792,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-28_A24/NP2/24hpe,Unknown
81,MH559791,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-28_A24/NP1/24hpe,Unknown
82,MH559790,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-28_A24/SER/24hpe,Unknown
83,MH559789,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-27_A24/LUNG/24hpe,Unknown
84,MH559788,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-27_A24/NP3/24hpe,Unknown
85,MH559787,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-27_A24/NP2/24hpe,Unknown
86,MH559786,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-27_A24/NP1/24hpe,Unknown
87,MH559785,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-27_A24/SER/24hpe,Unknown
88,MH559784,USA,Unknown,2016,Unknown,A24 Cruzeiro,FMDV_A24/airfilter/48hpi,air filter
89,MH559783,USA,pig,2016,Unknown,A24 Cruzeiro,FMDV_P45896_A24/VES/72hpi,Unknown
90,MH559782,USA,pig,2016,Unknown,A24 Cruzeiro,FMDV_P45896_A24/OPF/72hpi,Unknown
91,MH559781,USA,pig,2016,Unknown,A24 Cruzeiro,FMDV_P45896_A24/OPF/48hpi,Unknown
92,MH559780,USA,pig,2016,Unknown,A24 Cruzeiro,FMDV_P45896_A24/OPF/24hpi,Unknown
93,MH559779,USA,pig,2016,Unknown,A24 Cruzeiro,FMDV_P45895_A24/VES/72hpi,Unknown
94,MH559778,USA,pig,2016,Unknown,A24 Cruzeiro,FMDV_P45895_A24/OPF/72hpi,Unknown
95,MH559777,USA,pig,2016,Unknown,A24 Cruzeiro,FMDV_P45895_A24/OPF/48hpi,Unknown
96,MH559776,USA,pig,2016,Unknown,A24 Cruzeiro,FMDV_P45895_A24/OPF/24hpi,Unknown
97,MH559775,USA,pig,2016,Unknown,A24 Cruzeiro,FMDV_P45894_A24/VES/72hpi,Unknown
98,MH559774,USA,pig,2016,Unknown,A24 Cruzeiro,FMDV_P45894_A24/OPF/72hpi,Unknown
99,MH559773,USA,pig,2016,Unknown,A24 Cruzeiro,FMDV_P45894_A24/OPF/48hpi,Unknown
100,DQ533483,CHN,Unknown,1958,FMDV-Asia 1,ZB/CHA/58(att),Unknown,Unknown
101,ON652985,VNM,cow,2015,Unknown,Sea-97,A/VIT/361/2015,passaged probang
102,ON652984,VNM,cow,2015,Unknown,Sea-97,A/VIT/98/2015,passaged probang
103,ON652983,VNM,cow,2015,Unknown,Sea-97,A/VIT/95/2015,passaged probang
104,ON652982,VNM,cow,2015,Unknown,Sea-97,A/VIT/78/2015,passaged probang
105,ON652981,VNM,cow,2015,Unknown,Sea-97,A/VIT/75/2015,passaged probang
106,ON652980,VNM,cow,2015,Unknown,Sea-97,A/VIT/74/2015,passaged probang
107,ON652979,VNM,cow,2015,Unknown,Sea-97,A/VIT/441/2015,probang
108,ON652978,VNM,cow,2015,Unknown,Sea-97,A/VIT/352/2015,probang
109,ON652977,VNM,cow,2015,Unknown,Sea-97,A/VIT/350/2015,passaged probang
110,ON652976,VNM,cow,2015,Unknown,Sea-97,A/VIT/239/2015,passaged probang
111,ON652975,VNM,cow,2015,Unknown,Sea-97,A/VIT/216/2015,probang
112,ON652974,VNM,cow,2015,Unknown,Sea-97,A/VIT/212/2015,passaged probang
113,ON652973,VNM,water-buffalo,2015,Unknown,Sea-97,A/VIT/209/2015,probang
114,ON652972,VNM,cow,2015,Unknown,Sea-97,A/VIT/207/2015,passaged probang
115,ON652971,VNM,cow,2015,Unknown,Sea-97,A/VIT/206/2015,passaged probang
116,ON652970,VNM,cow,2015,Unknown,Sea-97,A/VIT/203/2015,passaged probang
117,ON652969,VNM,cow,2015,Unknown,Sea-97,A/VIT/201/2015,passaged probang
118,ON652968,VNM,cow,2015,Unknown,Sea-97,A/VIT/165/2015,passaged probang
119,ON652967,VNM,cow,2013,Unknown,Sea-97,A/VIT/14661/2013,tissue (vesicle)
120,ON652966,VNM,cow,2015,Unknown,Sea-97,A/VIT/141/2015,passaged probang
121,ON652965,VNM,cow,2015,Unknown,Sea-97,A/VIT/109/2015,passaged probang
122,MN366244,BGD,cattle,2018,Unknown,Unknown,BAN/DH/Sa-318/2018,tongue epithelium tissue
123,MK341545,ARG,Unknown,Unknown,Unknown,A/Arg/01-A01Lc,Unknown,Unknown
124,MK341544,ARG,Unknown,Unknown,Unknown,A/Arg/01-CapLc,Unknown,Unknown
125,MF063056,Unknown,Unknown,Unknown,Asia1,Asia1-9/Shamir/ISR/89,Unknown,Unknown
126,MF063055,Unknown,Unknown,Unknown,Asia1,Asia1-8/Shamir/ISR/89,Unknown,Unknown
127,MF063053,Unknown,Unknown,Unknown,Asia1,Asia1/Shamir/ISR/89,Unknown,Unknown
128,JF749864,Unknown,Unknown,Unknown,Unknown,Unknown,ZIM_22/2003,Unknown
129,JF749862,Unknown,Unknown,Unknown,Unknown,Unknown,UGA_002/2002,Unknown
130,JF749861,Unknown,Unknown,Unknown,Unknown,Unknown,KEN_002/2002,Unknown
131,JF749860,Unknown,Unknown,Unknown,Unknown,Unknown,KEN_004/2002,Unknown
132,JF749852,Unknown,Unknown,Unknown,Unknown,Unknown,MAY_002/2004,Unknown
133,JF749851,Unknown,Unknown,Unknown,Unknown,Unknown,IRN_073/2001,Unknown
134,JF749849,Unknown,Unknown,Unknown,Unknown,Unknown,PAK_030/2002,Unknown
135,JF749848,Unknown,Unknown,Unknown,Unknown,Unknown,TUR_004/2003,Unknown
136,JF749843,Unknown,Unknown,Unknown,Unknown,Unknown,Egypt/2006,Unknown
137,JF749841,Unknown,Unknown,Unknown,Unknown,Unknown,Turkey/2006,Unknown
138,GU384683,PAK,buffalo,2008,O,Unknown,PAK/45/2008,Unknown
139,GU384682,PAK,cattle,2008,O,Unknown,PAK/44/2008,Unknown
140,KC440884,EGY,Unknown,2012,SAT 2,Unknown,EGY 3/2012,Unknown
141,KC440883,EGY,Unknown,2011,O,Unknown,EGY 10/2011,Unknown
142,KC440882,EGY,Unknown,2012,A,Unknown,EGY 1/2012,Unknown
143,KC440881,EGY,Unknown,2011,A,Unknown,EGY 9/2011,Unknown
144,HM229661,HKG,pig,2010,O,Unknown,HKN/20/2010,Unknown
145,JQ973889,CHN,cow,2010,type O,O/CHN/Mya98/33-P,Unknown,Unknown
146,JQ900581,CHN,pig,Unknown,Unknown,O/GSLX/2010,Unknown,Unknown
147,FJ175666,ISR,cattle,2007,O,Unknown,Israel 07-6387,tongue epithelium
148,FJ175665,ISR,cattle,2007,O,Unknown,Israel 07-6391,tongue epithelium
149,FJ175664,ISR,cattle,2007,O,Unknown,Israel 07-6389,tongue epithelium
150,FJ175663,ISR,cattle,2007,O,Unknown,Israel 07-6382,calf tongue epithelium
151,FJ175662,ISR,cattle,2007,O,Unknown,Israel 07-6380,calf probang
152,FJ175661,ISR,goat,2007,O,Unknown,Israel 07-6378,kid cardiac tissue
153,FJ461346,UGA,buffalo,2002,Unknown,Unknown,Murchison Falls National Park,Unknown
154,FJ461345,UGA,Unknown,2002,Unknown,Unknown,Kapchorwa District,Unknown
155,FJ461344,UGA,cow,2002,Unknown,Unknown,Kumi District,Unknown
156,EF117837,PAK,cattle,2006,A,Unknown,"Lindholm 1.3,PAK3/2006",Unknown
157,PP273559,IND,elephant,1988,A,Unknown,A/IND61/1988,Unknown
158,OQ356346,KEN,cow,2006,A,Unknown,FBR03588,Cell supernatant
159,OQ427394,ARG,cow,1993,O,Unknown,FBR02520,Cell supernatant
160,OQ356340,BRA,cow,2001,A,Unknown,FBR02756DI,Cell supernatant
161,OQ356349,KEN,cow,2010,A,Unknown,FBR04313,Cell supernatant
162,OQ356348,IRQ,cow,2017,A,Unknown,FBR04302,Cell supernatant
163,OQ356347,EGY,cow,2008,A,Unknown,FBR04274,Tongue Epi Tissue
164,OQ356345,ARG,cow,2006,A,Unknown,FBR03587,Cell supernatant
165,OQ356344,URY,cow,2006,A,Unknown,FBR03563,Cell supernatant
166,OQ356343,ARG,cow,2003,A,Unknown,FBR03143,Cell supernatant
167,OQ356342,ARG,cow,2001,A,Unknown,FBR02770,Cell supernatant
168,OQ356341,BRA,cow,1970,A,Unknown,FBR01218,GPVF
169,OQ256242,ISR,cow,1969,A,Unknown,FBR00044,Tongue Epi Tissue
170,OQ238686,DEU,cow,1971,A,Unknown,FBR00015,GPVF Passage 6
171,OQ238685,ARG,cow,1990,A,Unknown,FBR00926,Cell culture supernatant
172,OQ211408,Unknown,gazelle,2007,O,Unknown,KVI_550119,"wild gazelle epithelium tissue; Zur Natan, Drom Hasaron, Israel, 2007"
173,OQ211407,Unknown,sheep,2007,O,Unknown,KVI_545682,"sheep heart tissue; Bethlehem, Palestinian Authority, 2007"
174,OQ211406,Unknown,sheep,2007,O,Unknown,KVI_548463*163,"sheep heart tissue; Zababdeh, Jenin district, Palestinian Authority, 2007"
175,OQ211405,Unknown,cattle,2007,O,Unknown,KVI_550746,"cattle probang tissue; Tamra, North District, Israel, 2007"
176,OQ211404,Unknown,cattle,2007,O,Unknown,KVI_546402*129,"cattle saliva; Seida, Tulkarm Governorate, Palestinian Authority"
177,OQ211403,Unknown,cattle,2007,O,Unknown,KVI_541556,"cattle epithelium tissue; Rumat al- Heib, al-Batuf Regional Concil, Israel, 2007"
178,OQ211402,Unknown,cattle,2007,O,Unknown,KVI_(468)547412,"cattle probang tissue; Ramat Magshimim, Southern Golan Heights, Israel, 2007"
179,OQ211401,Unknown,cattle,2007,O,Unknown,KVI_(482)547412,"cattle probang tissue; Ramat Magshimim, Southern Golan Heights, Israel, 2007"
180,OQ211400,Unknown,cattle,2007,O,Unknown,KVI_547412,"cattle hoof tissue; Ramat Magshimim, Southern Golan Heights, Israel, 2007"
181,OQ211399,Unknown,gazelle,2007,O,Unknown,KVI_546423*3,"wild gazelle head tissue; Ramat Yissahar, Lower Galilee, Israel, 2007"
182,OQ211398,Unknown,gazelle,2007,O,Unknown,KVI_546423 *2,"wild gazelle head tissue; Ramat Yissahar, Lower Galilee, Israel, 2007"
183,OQ211397,Unknown,sheep,2007,O,Unknown,KVI_547801,"sheep heart tissue; Rahat, Southern District, Israel, 2007"
184,OQ211396,Unknown,cattle,2007,O,Unknown,KVI_547793,"cattle probang; Qabul, Local Council, Northern District, Israel, 2007"
185,OQ211395,Unknown,sheep,2007,O,Unknown,KVI_548462*162,"sheep heart tissue; Qabatiya, Jenin Governorate, Palestinian Authority, 2007"
186,OQ211394,Unknown,cattle,2007,O,Unknown,KVI_544011,"cattle probang tissue; Nov, Golan Regional Council, Israel, 2007"
187,OQ211393,Unknown,goat,2007,O,Unknown,KVI_546826,"goat heart tissue; Nov, Golan Regional Council, Israel, 2007"
188,OQ211392,Unknown,cattle,2007,O,Unknown,KVI_540421,"cattle probang tissue; Neve Ur, Emek HaMa'ayanot Regional Council, Israel, 2007"
189,OQ211391,Unknown,cattle,2007,O,Unknown,KVI_(246)543181,"cattle probang tissue; Neve Ur, Emek HaMa'ayanot Regional Council, Israel, 2007"
190,OQ211390,Unknown,cattle,2007,O,Unknown,KVI_(230)543181,"cattle probang tissue; Neve Ur, Emek HaMa'ayanot Regional Council, Israel, 2007"
191,OQ211389,Unknown,goat,2006,O,Unknown,KVI_537323,"goat corpse; Netu'a, Ma'ale Yosef Regional Council, Israel, 2007"
192,OQ211388,Unknown,sheep,2007,O,Unknown,KVI_541557,"Sheep foot tissue; Nablus, West Bank, Palestinian Authority"
193,OQ211387,Unknown,cattle,2007,O,Unknown,KVI_548593,"Cattle Epithelium tissue; Giv'ati, Be'er Tuvia Regional Council, Israel"
194,OQ211386,Unknown,cattle,2007,O,Unknown,KVI_540430,"cattle epithelium tissue; Moledet, Gilboa Regional Council, Israel, 2007"
195,OQ211385,Unknown,cattle,2007,O,Unknown,KVI_537746,"cattle probang tissue; Mevo Hama, Golan Regional Council, Israel, 2007"
196,OQ211384,Unknown,cattle,2007,O,Unknown,KVI_547798,"Lakiya, Local Council, Southern District, Israel, 2007; calf heart tissue"
197,OQ211383,Unknown,gazelle,2007,O,Unknown,KVI_546825*6,"wild gazelle head tissue; Kochav Hayarden, Lower Galilee, Israel, 2007"
198,OQ211382,Unknown,gazelle,2007,O,Unknown,KVI_546423*5,"wild gazelle head tissue; Kochav Hayarden, Lower Galilee, Israel, 2007"
199,OQ211381,Unknown,gazelle,2007,O,Unknown,KVI_546825*7,"wild gazelle head tissue; Kochav Hayarden, Lower Galilee, Israel, 2007"
200,OQ211380,Unknown,cattle,2007,O,Unknown,KVI_555455,"cattle probang tissue; Yifat, Jezreell, Valley Regional Concil, Israel, 2007"
201,OQ211379,Unknown,cattle,2007,O,Unknown,KVI_543311,"cattle probang tissue; Natur, Southern Golan Heights, Israel, 2007"
202,OQ211378,Unknown,cattle,2007,O,Unknown,KVI_550962,"cattle probang tissue; Kanaf, Golan Region Concil, Israel, 2007"
203,OQ211377,Unknown,cattle,2007,O,Unknown,KVI_548856,"cattle epithelium tissue; Kafr Qasem, Israel, 2007"
204,OQ211376,Unknown,cattle,2007,O,Unknown,KVI_549767,"cattle epithelium tissue; Kafr Qara, Local Council, Israel"
205,OQ211375,Unknown,sheep,2007,O,Unknown,KVI_547615*149,"sheep heart tissue; Jifna, Ramalla and al-Bireh Governorate, Palestinian Authority, 2007"
206,OQ211374,Unknown,cattle,2007,O,Unknown,KVI_540975,"cattle epithelium tissue; Ilut, Local Council, Northen District, Israel"
207,OQ211373,Unknown,goat,2007,O,Unknown,KVI_547681#2,"goat epithelium tissue; Hura, Southern District, Israel, 2007"
208,OQ211372,Unknown,goat,2007,O,Unknown,KVI_547681#1,"goat epithelium tissue; Hura, Southern District, Israel, 2007"
209,OQ211371,Unknown,goat,2007,O,Unknown,KVI_550736*205,"goat heart tissue; Hebron, Palestinian Authority, 2007"
210,OQ211370,Unknown,cattle,2007,O,Unknown,KVI_541840*2,"cattle epithelium; Gazit, Jezreel Regional Concil"
211,OQ211369,Unknown,cattle,2007,O,Unknown,KVI_540379,"cattle probang tissue; Fassouta, local concil, Northen District, Israel, 2007"
212,OQ211368,Unknown,sheep,2007,O,Unknown,KVI_544707*86,"sheep heart tissue; Al-Eizariya, West Bank, Palestinian Authority, 2007"
213,OQ211367,Unknown,sheep,2007,O,Unknown,KVI_546398*138,"sheep heart tissue; Dura, Hebron Governorate, Palestinian Authority, 2007"
214,OQ211366,Unknown,sheep,2007,O,Unknown,KVI_542481,"sheep swab; Ad-Dhahiriya, Hebron Governorate, Palestinian Authority, 2007"
215,OQ211365,Unknown,sheep,2007,O,Unknown,KVI_542681_palest2,"small ruminant mouth tissue; Deir Sammit, Hebron Governorate, Palestinian Authority, 2007"
216,OQ211364,Unknown,sheep,2007,O,Unknown,KVI_543974*77,"sheep heart tissue; Deir Dibwan, Ramallah and al-Bireh Governorate, Palestinian Authority, 2007"
217,OQ211363,Unknown,sheep,2007,O,Unknown,KVI_545681,"sheep heart tissue; Birzeit, located north of Ramallah, Palestinian Authority, 2007"
218,OQ211362,Unknown,sheep,2007,O,Unknown,KVI_545686,"sheep heart tissue; Bir Nabala, West Bank, Palestinian Authority, 2007"
219,OQ211361,Unknown,sheep,2007,O,Unknown,KVI_551141,"sheep heart tissue; Bir al-Maksur, Local concil, Northen District, Israel, 2007"
220,OQ211360,Unknown,cattle,2007,O,Unknown,KVI_548360,"cattle probang tissue; Beit She'arim, Jezreel Valiey Regional Concil, Israel, 2007"
221,OQ211359,Unknown,cattle,2007,O,Unknown,KVI_(745)548850,"cattle probang tissue; Beit She'arim, Jezreel Valiey Regional Concil, Israel, 2007"
222,OQ211358,Unknown,cattle,2007,O,Unknown,KVI_(193)548046,"cattle probang tissue; Beit She'arim, Jezreel Valiey Regional Concil, Israel, 2007"
223,OQ211357,Unknown,cattle,2007,O,Unknown,KVI_548645,"cattle probang tissue; Beit She'arim, Jezreel Valiey Regional Concil, Israel, 2007"
224,OQ211356,Unknown,cattle,2007,O,Unknown,KVI_(8)548046,"cattle probang tissue; Beit She'arim, Jezreel Valiey Regional Concil, Israel, 2007"
225,OQ211355,Unknown,cattle,2007,O,Unknown,KVI_539838,"calf probang tissue; Beit Hashita, Gilboa Regional Concil, Israel, 2007"
226,OQ211354,Unknown,cattle,2007,O,Unknown,KVI_542477_1a,"catlle tongue tissue; Beit 'Amra, Hebron Governorate, Palestinian Authority, 2007"
227,OQ211353,Unknown,sheep,2007,O,Unknown,KVI_548013,"small ruminant heart tissue; Basmat Tab'un, Northen District, Israel, 2007"
228,OQ211352,Unknown,cattle,2007,O,Unknown,KVI_545072,"cattle epithelium tissue; I'bilin, Northen district, Israel, 2007"
229,OQ211351,Unknown,goat,2007,O,Unknown,KVI_543442,"goat heart tissue; Arab al-Aramshe, Western Galilee, Israel, 2007"
230,OQ211350,Unknown,cattle,2007,O,Unknown,KVI_542757,"cattle probang tissue; Arab al-Aramshe, Western Galilee, Israel, 2007"
231,OQ211349,Unknown,sheep,2007,O,Unknown,KVI_548461*161,"sheep heart tissue; Ajjah, Jenin Governorate, Palestinian Authority, 2007"
232,OQ557397,ETH,cow,2022,SAT2,Unknown,ETH/2/2022,Unknown
233,OQ557396,ETH,cattle,1991,SAT2,Unknown,ETH/2/91,Unknown
