GBAC,country,host,collection_date,serotype,Topotype,lineage,color
AY593770/ARG/Unknown/1966/A,ARG,Unknown,1966,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#908AB3
AY593771/COL/Unknown/1967/A,COL,Unknown,1967,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8B85AF
AY593772/TUR/Unknown/1972/A,TUR,Unknown,1972,A,ASIA,A22,#9C97BE
AY593773/PER/Unknown/1969/A,PER,Unknown,1969,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#918CB5
AY593774/ESP/Unknown/1969/A,ESP,Unknown,1969,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8A84AE
AY593775/VEN/Unknown/1970/A,VEN,Unknown,1970,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#918CB4
AY593776/DEU/Unknown/1968/A,DEU,Unknown,1968,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8984AD
AY593779/DEU/Unknown/1972/A,DEU,Unknown,1972,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8B85AE
AY593780/FRA/Unknown/1960/A,FRA,Unknown,1960,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8D87B0
AY593781/DEU/Unknown/1951/A,DEU,Unknown,1951,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8C87B0
AY593782/ARG/Unknown/2000/A,ARG,Unknown,2000,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#928CB5
AY593783/ARG/Unknown/2001/A,ARG,Unknown,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9792BA
AY593784/ARG/Unknown/2001/A,ARG,Unknown,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9791B9
AY593785/ARG/Unknown/2001/A,ARG,Unknown,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9691B9
AY593786/ARG/Unknown/2001/A,ARG,Unknown,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9893BB
AY593788/BRA/Unknown/1958/A,BRA,Unknown,1958,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8F8AB3
AY593789/ARG/Unknown/1961/A,ARG,Unknown,1961,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8882AC
AY593790/ARG/Unknown/2001/A,ARG,Unknown,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9B95BD
AY593791/IRN/Unknown/1998/A,IRN,Unknown,1998,A,ASIA,Iran-96,#9E99C0
AY593792/ITA/Unknown/1962/A,ITA,Unknown,1962,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8C86AF
AY593793/PHL/Unknown/1975/A,PHL,Unknown,1975,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#918BB4
AY593794/COL/Unknown/1985/A,COL,Unknown,1985,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#908AB3
AY593795/PAK/Unknown/1954/Asia1,PAK,Unknown,1954,Asia1,ASIA,,#3D9487
AY593796/ISR/Unknown/1963/Asia1,ISR,Unknown,1963,Asia1,ASIA,,#41978B
AY593798/LBN/Unknown/1983/Asia1,LBN,Unknown,1983,Asia1,ASIA,,#4FA396
AY593799/LBN/Unknown/1983/Asia1,LBN,Unknown,1983,Asia1,ASIA,,#4EA195
AY593800/LBN/Unknown/1983/Asia1,LBN,Unknown,1983,Asia1,ASIA,,#4EA295
AY593801/URY/Unknown/1968/A,URY,Unknown,1968,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9690B8
AY593802/URY/Unknown/2001/A,URY,Unknown,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9690B8
AY593803/BRA/Unknown/1979/A,BRA,Unknown,1979,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8F89B2
AY593804/CHE/Unknown/1965/C,CHE,Unknown,1965,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#C1EC79
AY593805/DEU/Unknown/1960/C,DEU,Unknown,1960,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#BCE671
AY593806/BRA/Unknown/1971/C,BRA,Unknown,1971,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#94BD34
AY593807/BRA/Unknown/1955/C,BRA,Unknown,1955,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#A3CC4B
AY593808/ARG/Unknown/1966/C,ARG,Unknown,1966,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#ADD75A
AY593809/ARG/Unknown/1969/C,ARG,Unknown,1969,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#99C23C
AY593810/GBR/Unknown/1970/C,GBR,Unknown,1970,C,V-East-Africa-EA,,#8AB225
AY593811/PHL/Unknown/1958/O,PHL,Unknown,1958,O,SOUTHEAST-ASIA-SEA,,#BEBE28
AY593812/PHL/Unknown/1958/O,PHL,Unknown,1958,O,SOUTHEAST-ASIA-SEA,,#BEBE28
AY593813/IDN/Unknown/1962/O,IDN,Unknown,1962,O,INDONESIA-1-ISA-1-1,,#AEAE00
AY593814/ARG/Unknown/1965/O,ARG,Unknown,1965,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AFAF03
AY593817/BEL/Unknown/1973/O,BEL,Unknown,1973,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AFAF03
AY593818/ARG/Unknown/1958/O,ARG,Unknown,1958,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AFAF02
AY593820/ARG/Unknown/1964/O,ARG,Unknown,1964,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE01
AY593821/ARG/Unknown/1967/O,ARG,Unknown,1967,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE01
AY593823/TUR/Unknown/1969/O,TUR,Unknown,1969,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#D2D259
AY593824/KOR/Unknown/2000/O,KOR,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EEEEA0
AY593825/ARG/Unknown/1939/O,ARG,Unknown,1939,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE00
AY593826/ITA/Unknown/1947/O,ITA,Unknown,1947,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE00
AY593827/VEN/Unknown/1971/O,VEN,Unknown,1971,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE00
AY593828/IND/Unknown/1962/O,IND,Unknown,1962,O,SOUTHEAST-ASIA-SEA,,#BEBE28
AY593829/GBR/Unknown/1965/O,GBR,Unknown,1965,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE01
AY593830/POL/Unknown/1959/O,POL,Unknown,1959,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE02
AY593831/GBR/Unknown/2002/O,GBR,Unknown,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A9
AY593832/GBR/Unknown/2002/O,GBR,Unknown,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A8
AY593833/TWN/Unknown/1999/O,TWN,Unknown,1999,O,CATHAY,,#B7B718
AY593834/IRN/Unknown/1966/O,IRN,Unknown,1966,O,SOUTHEAST-ASIA-SEA,,#B9B91C
AY593835/TWN/Unknown/1997/O,TWN,Unknown,1997,O,CATHAY,,#B7B718
AY593836/GBR/Unknown/2001/O,GBR,Unknown,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A9
AY593837/URY/Unknown/1963/O,URY,Unknown,1963,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE01
AY593838/BWA/Unknown/1970/SAT1,BWA,Unknown,1970,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C18319
AY593840/NAM/Unknown/1949/SAT1,NAM,Unknown,1949,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C2841D
AY593841/ZWE/Unknown/1958/SAT1,ZWE,Unknown,1958,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C2831B
AY593842/ZAF/Unknown/1961/SAT1,ZAF,Unknown,1961,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C3851F
AY593843/NAM/Unknown/1940/SAT1,NAM,Unknown,1940,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C68824
AY593844/ISR/Unknown/1962/SAT1,ISR,Unknown,1962,SAT1,VI,,#BD7E11
AY593845/BWA/Unknown/1968/SAT1,BWA,Unknown,1968,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C58722
AY593846/ZWE/Unknown/1966/SAT1,ZWE,Unknown,1966,SAT1,ASIA,,#C88B29
AY593847/ZWE/Unknown/1948/SAT2,ZWE,Unknown,1948,SAT2,III,,#DC542A
AY593848/Unknown/Unknown/1967/SAT2,Unknown,Unknown,1967,SAT2,I,,#DB5328
AY593849/KEN/Unknown/1960/SAT2,KEN,Unknown,1960,SAT2,IX,,#D03803
AY593850/ZAF/Unknown/1959/SAT3,ZAF,Unknown,1959,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ,,#85B6D8
AY593851/BWA/Unknown/1961/SAT3,BWA,Unknown,1961,SAT3,II-WESTERN-ZIMBABWE-WZ,,#5185A5
AY593852/KEN/Unknown/1960/SAT3,KEN,Unknown,1960,SAT3,II-WESTERN-ZIMBABWE-WZ,,#4D81A1
AY593853/BWA/Unknown/1965/SAT3,BWA,Unknown,1965,SAT3,II-WESTERN-ZIMBABWE-WZ,,#5D90B1
AY686687/Unknown/Unknown/2001/O,Unknown,Unknown,2001,O,CATHAY,,#B7B717
DQ404158/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AB
DQ404159/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AA
DQ404160/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AA
DQ404161/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2AA
DQ404162/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A9
DQ404163/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A8
DQ404164/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A4
DQ404165/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F4F4AE
DQ404166/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F4F4AE
DQ404167/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F4F4AE
DQ404168/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A9
DQ404169/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AB
DQ404170/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F4F4AD
DQ404171/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A3
DQ404172/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A8
DQ404173/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A8
DQ404174/IRL/sheep/2001/O,IRL,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A4
DQ404175/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA2
DQ404176/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A6
DQ404177/GBR/pig/2001/O,GBR,pig,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A6
DQ404178/GBR/pig/2001/O,GBR,pig,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A7
DQ404179/GBR/pig/2001/O,GBR,pig,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A5
DQ404180/GBR/pig/2001/O,GBR,pig,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A7
DQ533483/CHN/Unknown/1958/Asia1,CHN,Unknown,1958,Asia1,ASIA,,#409689
DQ989303/IND/cattle/1993/Asia1,IND,cattle,1993,Asia1,ASIA,,#459A8D
DQ989304/IND/cattle/2000/Asia1,IND,cattle,2000,Asia1,ASIA,,#44998D
DQ989305/IND/cattle/1990/Asia1,IND,cattle,1990,Asia1,ASIA,,#52A598
DQ989306/IND/cattle/1986/Asia1,IND,cattle,1986,Asia1,ASIA,,#43998C
DQ989307/IND/cattle/1992/Asia1,IND,cattle,1992,Asia1,ASIA,,#51A497
DQ989308/IND/cattle/1994/Asia1,IND,cattle,1994,Asia1,ASIA,,#5CADA1
DQ989309/IND/cattle/1996/Asia1,IND,cattle,1996,Asia1,ASIA,,#5EAFA2
DQ989310/IND/cattle/1999/Asia1,IND,cattle,1999,Asia1,ASIA,,#5FAFA3
DQ989311/IND/buffalo/2002/Asia1,IND,buffalo,2002,Asia1,ASIA,,#5FB0A3
DQ989312/IND/sheep/1990/Asia1,IND,sheep,1990,Asia1,ASIA,,#50A397
DQ989313/IND/buffalo/1986/Asia1,IND,buffalo,1986,Asia1,ASIA,,#63B3A6
DQ989314/IND/cattle/2001/Asia1,IND,cattle,2001,Asia1,ASIA,,#54A79A
DQ989315/IND/cattle/1993/Asia1,IND,cattle,1993,Asia1,ASIA,,#52A599
DQ989317/IND/buffalo/2000/Asia1,IND,buffalo,2000,Asia1,ASIA,,#53A699
DQ989318/IND/cattle/2002/Asia1,IND,cattle,2002,Asia1,ASIA,,#56A99C
DQ989319/IND/cattle/2001/Asia1,IND,cattle,2001,Asia1,ASIA,,#56A89B
DQ989320/IND/cattle/2002/Asia1,IND,cattle,2002,Asia1,ASIA,,#59AB9E
DQ989321/IND/cattle/2001/Asia1,IND,cattle,2001,Asia1,ASIA,,#55A79B
DQ989322/IND/cattle/2002/Asia1,IND,cattle,2002,Asia1,ASIA,,#57A99D
DQ989323/IND/cattle/2002/Asia1,IND,cattle,2002,Asia1,ASIA,,#58AA9D
EF117837/PAK/cattle/2006/A,PAK,cattle,2006,A,ASIA,Iran-05,#ABA6CB
EF149009/CHN/Unknown/2005/Asia1,CHN,Unknown,2005,Asia1,ASIA,,#459B8E
EF149010/CHN/Unknown/2005/Asia1,CHN,Unknown,2005,Asia1,ASIA,,#5BADA0
EF175732/CHN/Unknown/1999/O,CHN,Unknown,1999,O,CATHAY,,#B8B818
EF494486/TUR/cattle/2005/A,TUR,cattle,2005,A,ASIA,Iran-05,#ACA7CC
EF494487/PAK/cattle/2006/A,PAK,cattle,2006,A,ASIA,Iran-05,#ABA6CB
EF494488/PAK/cattle/2006/A,PAK,cattle,2006,A,ASIA,Iran-05,#AAA5CA
EF552688/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A3
EF552689/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AC
EF552690/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AC
EF552691/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AC
EF552692/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F4F4AD
EF552693/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F4F4AD
EF552694/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F4F4AE
EF552695/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AC
EF552696/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA2
EF552697/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AB
EF614457/KOR/cattle/2002/O,KOR,cattle,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EDED9C
EF614458/MNG/cattle/2005/Asia1,MNG,cattle,2005,Asia1,ASIA,,#499E91
EU214601/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AB
EU400597/CHN/Unknown/2001/O,CHN,Unknown,2001,O,CATHAY,,#B8B819
EU448368/GBR/cow/1967/O,GBR,cow,1967,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B0B006
EU448369/GBR/cow/1967/O,GBR,cow,1967,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B0B007
EU448370/GBR/cow/1967/O,GBR,cow,1967,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B0B006
EU448371/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B3B30D
EU448372/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B3B30D
EU448373/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B3B30C
EU448374/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B4B40E
EU448375/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B5B512
EU448376/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B4B40F
EU448377/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B5B512
EU448378/GBR/sheep/2007/O,GBR,sheep,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B4B40F
EU448379/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B6B613
EU448380/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B6B615
EU448381/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B5B511
FJ175661/ISR/goat/2007/O,ISR,goat,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E6E68B
FJ175662/ISR/cattle/2007/O,ISR,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E6E68B
FJ175663/ISR/cattle/2007/O,ISR,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E9E994
FJ175664/ISR/cattle/2007/O,ISR,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E9E993
FJ175665/ISR/cattle/2007/O,ISR,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E8E891
FJ175666/ISR/cattle/2007/O,ISR,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E9E993
FJ461344/UGA/cow/2002/O,UGA,cow,2002,O,EAST-AFRICA-2-EA-2,,#BABA1F
FJ461345/UGA/Unknown/2002/O,UGA,Unknown,2002,O,EAST-AFRICA-2-EA-2,,#BABA1E
FJ542365/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A6
FJ542366/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A5
FJ542367/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A5
FJ542368/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA2
FJ542369/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A4
FJ542370/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A5
FJ542371/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A3
FJ542372/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A6
FJ623456/KAZ/Unknown/1999/A,KAZ,Unknown,1999,A,ASIA,A22,#9D98BF
FJ906802/CHN/pig/2006/Asia1,CHN,pig,2006,Asia1,ASIA,,#479C8F
GQ406247/VNM/cattle/2009/A,VNM,cattle,2009,A,ASIA,Sea-97,#B8B3D6
GQ406248/VNM/cattle/2009/A,VNM,cattle,2009,A,ASIA,Sea-97,#B7B3D6
GQ406249/VNM/cattle/2009/A,VNM,cattle,2009,A,ASIA,Sea-97,#B8B4D7
GQ406250/VNM/cattle/2009/A,VNM,cattle,2009,A,ASIA,Sea-97,#B7B2D6
GQ406251/VNM/pig/2009/A,VNM,pig,2009,A,ASIA,Sea-97,#B9B4D8
GQ406252/VNM/buffalo/2009/A,VNM,buffalo,2009,A,ASIA,Sea-97,#B9B4D7
GQ452295/VNM/cattle/2007/Asia1,VNM,cattle,2007,Asia1,ASIA,,#489D90
GU125645/VNM/cattle/2007/Asia1,VNM,cattle,2007,Asia1,ASIA,,#499D91
GU125646/VNM/buffalo/2005/Asia1,VNM,buffalo,2005,Asia1,ASIA,,#3F9589
GU125647/VNM/cattle/2006/O,VNM,cattle,2006,O,SOUTHEAST-ASIA-SEA,Mya-98,#BEBE29
