"GBAC","country","host","collection_date","serotype","Topotype","color","lineage"
"AY593811/PHL/Unknown/1958/O","PHL","Unknown","1958","O","III-NORTHWEST-ZIMBABWE-NWZ","#BEBE28",""
"AY593812/PHL/Unknown/1958/O","PHL","Unknown","1958","O","III-NORTHWEST-ZIMBABWE-NWZ","#BEBE28",""
"AY593813/IDN/Unknown/1962/O","IDN","Unknown","1962","O","INDONESIA-1-ISA-1-1","#B0B005",""
"AY593814/ARG/Unknown/1965/O","ARG","Unknown","1965","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B1B109",""
"AY593817/BEL/Unknown/1973/O","BEL","Unknown","1973","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B1B108",""
"AY593818/ARG/Unknown/1958/O","ARG","Unknown","1958","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B1B107",""
"AY593820/ARG/Unknown/1964/O","ARG","Unknown","1964","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B1B107",""
"AY593821/ARG/Unknown/1967/O","ARG","Unknown","1967","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B0B007",""
"AY593823/TUR/Unknown/1969/O","TUR","Unknown","1969","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#D2D259",""
"AY593824/KOR/Unknown/2000/O","KOR","Unknown","2000","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#ECEC9A","PanAsia"
"AY593825/ARG/Unknown/1939/O","ARG","Unknown","1939","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B0B006",""
"AY593826/ITA/Unknown/1947/O","ITA","Unknown","1947","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B0B006",""
"AY593827/VEN/Unknown/1971/O","VEN","Unknown","1971","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B0B005",""
"AY593828/IND/Unknown/1962/O","IND","Unknown","1962","O","III-NORTHWEST-ZIMBABWE-NWZ","#BEBE28",""
"AY593829/GBR/Unknown/1965/O","GBR","Unknown","1965","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B0B006",""
"AY593830/POL/Unknown/1959/O","POL","Unknown","1959","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B1B108",""
"AY593831/GBR/Unknown/2002/O","GBR","Unknown","2002","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F2F2A8","PanAsia"
"AY593832/GBR/Unknown/2002/O","GBR","Unknown","2002","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F1F1A7","PanAsia"
"AY593833/TWN/Unknown/1999/O","TWN","Unknown","1999","O","CATHAY","#AEAE00",""
"AY593834/IRN/Unknown/1966/O","IRN","Unknown","1966","O","III-NORTHWEST-ZIMBABWE-NWZ","#B9B91C",""
"AY593835/TWN/Unknown/1997/O","TWN","Unknown","1997","O","CATHAY","#AEAE00",""
"AY593836/GBR/Unknown/2001/O","GBR","Unknown","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F1F1A7","PanAsia"
"AY593837/URY/Unknown/1963/O","URY","Unknown","1963","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B1B107",""
"AY593838/BWA/Unknown/1970/SAT1","BWA","Unknown","1970","SAT1","III-WESTERN-ZIMBABWE-WZ","#DA5024",""
"AY593840/NAM/Unknown/1949/SAT1","NAM","Unknown","1949","SAT1","III-WESTERN-ZIMBABWE-WZ","#D94E22",""
"AY593841/ZWE/Unknown/1958/SAT1","ZWE","Unknown","1958","SAT1","III-WESTERN-ZIMBABWE-WZ","#D94D20",""
"AY593842/ZAF/Unknown/1961/SAT1","ZAF","Unknown","1961","SAT1","III-WESTERN-ZIMBABWE-WZ","#D74819",""
"AY593843/NAM/Unknown/1940/SAT1","NAM","Unknown","1940","SAT1","III-WESTERN-ZIMBABWE-WZ","#D84C1F",""
"AY593844/ISR/Unknown/1962/SAT1","ISR","Unknown","1962","SAT1","VI","#D44210",""
"AY593845/BWA/Unknown/1968/SAT1","BWA","Unknown","1968","SAT1","III-WESTERN-ZIMBABWE-WZ","#D84B1D",""
"AY593846/ZWE/Unknown/1966/SAT1","ZWE","Unknown","1966","SAT1","ASIA","#DC5329",""
"AY593847/ZWE/Unknown/1948/SAT2","ZWE","Unknown","1948","SAT2","III","#5B8EAF",""
"AY593848/Unknown/Unknown/1967/SAT2","Unknown","Unknown","1967","SAT2","I","#5A8DAE",""
"AY593849/KEN/Unknown/1960/SAT2","KEN","Unknown","1960","SAT2","IX","#467B9B",""
"AY593850/ZAF/Unknown/1959/SAT3","ZAF","Unknown","1959","SAT3","I-SOUTHEAST-ZIMBABWE-SEZ","#EDB677",""
"AY593851/BWA/Unknown/1961/SAT3","BWA","Unknown","1961","SAT3","II-WESTERN-ZIMBABWE-WZ","#C08218",""
"AY593852/KEN/Unknown/1960/SAT3","KEN","Unknown","1960","SAT3","II-WESTERN-ZIMBABWE-WZ","#BC7E10",""
"AY593853/BWA/Unknown/1965/SAT3","BWA","Unknown","1965","SAT3","II-WESTERN-ZIMBABWE-WZ","#CA8E2E",""
"AY686687/Unknown/Unknown/2001/O","Unknown","Unknown","2001","O","CATHAY","#AEAE00",""
"DQ404158/GBR/sheep/2001/O","GBR","sheep","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F0F0A3","PanAsia"
"DQ404159/GBR/cow/2001/O","GBR","cow","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F0F0A3","PanAsia"
"DQ404160/GBR/cow/2001/O","GBR","cow","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F0F0A3","PanAsia"
"DQ404161/GBR/cow/2001/O","GBR","cow","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#EFEFA2","PanAsia"
"DQ404162/GBR/sheep/2001/O","GBR","sheep","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#EFEFA2","PanAsia"
"DQ404163/GBR/cow/2001/O","GBR","cow","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F2F2A9","PanAsia"
"DQ404164/GBR/cow/2001/O","GBR","cow","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F3F3AB","PanAsia"
"DQ404165/GBR/cow/2001/O","GBR","cow","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F1F1A7","PanAsia"
"DQ404166/GBR/cow/2001/O","GBR","cow","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F1F1A6","PanAsia"
"DQ404167/GBR/sheep/2001/O","GBR","sheep","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F1F1A7","PanAsia"
"DQ404168/GBR/cow/2001/O","GBR","cow","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#EFEFA2","PanAsia"
"DQ404169/GBR/sheep/2001/O","GBR","sheep","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F0F0A4","PanAsia"
"DQ404170/GBR/sheep/2001/O","GBR","sheep","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F1F1A5","PanAsia"
"DQ404171/GBR/sheep/2001/O","GBR","sheep","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F3F3AA","PanAsia"
"DQ404172/GBR/cow/2001/O","GBR","cow","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F2F2AA","PanAsia"
"DQ404173/GBR/cow/2001/O","GBR","cow","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F2F2AA","PanAsia"
"DQ404174/IRL/sheep/2001/O","IRL","sheep","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F2F2A9","PanAsia"
"DQ404175/GBR/cow/2001/O","GBR","cow","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F2F2A9","PanAsia"
"DQ404176/GBR/cow/2001/O","GBR","cow","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F4F4AD","PanAsia"
"DQ404177/GBR/pig/2001/O","GBR","pig","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F3F3AC","PanAsia"
"DQ404178/GBR/pig/2001/O","GBR","pig","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F4F4AD","PanAsia"
"DQ404179/GBR/pig/2001/O","GBR","pig","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F3F3AB","PanAsia"
"DQ404180/GBR/pig/2001/O","GBR","pig","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F4F4AE","PanAsia"
"DQ533483/CHN/Unknown/1958/Asia1","CHN","Unknown","1958","Asia1","ASIA","#749B04",""
"DQ989303/IND/cattle/1993/Asia1","IND","cattle","1993","Asia1","ASIA","#789F09",""
"DQ989304/IND/cattle/2000/Asia1","IND","cattle","2000","Asia1","ASIA","#779F08",""
"DQ989305/IND/cattle/1990/Asia1","IND","cattle","1990","Asia1","ASIA","#82AA19",""
"DQ989306/IND/cattle/1986/Asia1","IND","cattle","1986","Asia1","ASIA","#779E08",""
"DQ989307/IND/cattle/1992/Asia1","IND","cattle","1992","Asia1","ASIA","#82AA18",""
"DQ989308/IND/cattle/1994/Asia1","IND","cattle","1994","Asia1","ASIA","#8BB327",""
"DQ989309/IND/cattle/1996/Asia1","IND","cattle","1996","Asia1","ASIA","#8CB528",""
"DQ989310/IND/cattle/1999/Asia1","IND","cattle","1999","Asia1","ASIA","#8DB529",""
"DQ989311/IND/buffalo/2002/Asia1","IND","buffalo","2002","Asia1","ASIA","#8EB62A",""
"DQ989312/IND/sheep/1990/Asia1","IND","sheep","1990","Asia1","ASIA","#81A918",""
"DQ989313/IND/buffalo/1986/Asia1","IND","buffalo","1986","Asia1","ASIA","#90B92F",""
"DQ989314/IND/cattle/2001/Asia1","IND","cattle","2001","Asia1","ASIA","#84AC1C",""
"DQ989315/IND/cattle/1993/Asia1","IND","cattle","1993","Asia1","ASIA","#83AB1A",""
"DQ989317/IND/buffalo/2000/Asia1","IND","buffalo","2000","Asia1","ASIA","#84AC1C",""
"DQ989318/IND/cattle/2002/Asia1","IND","cattle","2002","Asia1","ASIA","#86AE20",""
"DQ989319/IND/cattle/2001/Asia1","IND","cattle","2001","Asia1","ASIA","#86AE1F",""
"DQ989320/IND/cattle/2002/Asia1","IND","cattle","2002","Asia1","ASIA","#88B122",""
"DQ989321/IND/cattle/2001/Asia1","IND","cattle","2001","Asia1","ASIA","#85AD1D",""
"DQ989322/IND/cattle/2002/Asia1","IND","cattle","2002","Asia1","ASIA","#87AF20",""
"DQ989323/IND/cattle/2002/Asia1","IND","cattle","2002","Asia1","ASIA","#88B021",""
"EF117837/PAK/cattle/2006/A","PAK","cattle","2006","A","ASIA","#ABA6CB","Iran-05"
"EF149009/CHN/Unknown/2005/Asia1","CHN","Unknown","2005","Asia1","ASIA","#79A00A",""
"EF149010/CHN/Unknown/2005/Asia1","CHN","Unknown","2005","Asia1","ASIA","#8AB325",""
"EF175732/CHN/Unknown/1999/O","CHN","Unknown","1999","O","CATHAY","#AEAE01",""
"EF494486/TUR/cattle/2005/A","TUR","cattle","2005","A","ASIA","#ACA7CC","Iran-05"
"EF494487/PAK/cattle/2006/A","PAK","cattle","2006","A","ASIA","#ABA6CB","Iran-05"
"EF494488/PAK/cattle/2006/A","PAK","cattle","2006","A","ASIA","#AAA5CA","Iran-05"
"EF552688/GBR/sheep/2001/O","GBR","sheep","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F3F3AB","PanAsia"
"EF552689/GBR/sheep/2001/O","GBR","sheep","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F0F0A4","PanAsia"
"EF552690/GBR/cattle/2001/O","GBR","cattle","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F0F0A4","PanAsia"
"EF552691/GBR/cattle/2001/O","GBR","cattle","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F0F0A5","PanAsia"
"EF552692/GBR/sheep/2001/O","GBR","sheep","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F1F1A6","PanAsia"
"EF552693/GBR/cattle/2001/O","GBR","cattle","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F1F1A5","PanAsia"
"EF552694/GBR/cattle/2001/O","GBR","cattle","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F1F1A6","PanAsia"
"EF552695/GBR/sheep/2001/O","GBR","sheep","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F0F0A5","PanAsia"
"EF552696/GBR/cattle/2001/O","GBR","cattle","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F3F3AB","PanAsia"
"EF552697/GBR/sheep/2001/O","GBR","sheep","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F0F0A3","PanAsia"
"EF614457/KOR/cattle/2002/O","KOR","cattle","2002","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#EEEE9E","PanAsia"
"EF614458/MNG/cattle/2005/Asia1","MNG","cattle","2005","Asia1","ASIA","#7CA310",""
"EU214601/GBR/sheep/2001/O","GBR","sheep","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F0F0A4","PanAsia"
"EU400597/CHN/Unknown/2001/O","CHN","Unknown","2001","O","CATHAY","#AEAE01",""
"EU448368/GBR/cow/1967/O","GBR","cow","1967","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B2B20A",""
"EU448369/GBR/cow/1967/O","GBR","cow","1967","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B3B30C",""
"EU448370/GBR/cow/1967/O","GBR","cow","1967","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B3B30C",""
"EU448371/GBR/cow/2007/O","GBR","cow","2007","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B5B513",""
"EU448372/GBR/cow/2007/O","GBR","cow","2007","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B6B614",""
"EU448373/GBR/cow/2007/O","GBR","cow","2007","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B5B511",""
"EU448374/GBR/cow/2007/O","GBR","cow","2007","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B5B512",""
"EU448375/GBR/cow/2007/O","GBR","cow","2007","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B8B819",""
"EU448376/GBR/cow/2007/O","GBR","cow","2007","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B7B716",""
"EU448377/GBR/cow/2007/O","GBR","cow","2007","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B8B818",""
"EU448378/GBR/sheep/2007/O","GBR","sheep","2007","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B6B615",""
"EU448379/GBR/cow/2007/O","GBR","cow","2007","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B7B717",""
"EU448380/GBR/cow/2007/O","GBR","cow","2007","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B8B81A",""
"EU448381/GBR/cow/2007/O","GBR","cow","2007","O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B8B81A",""
"FJ175661/ISR/goat/2007/O","ISR","goat","2007","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#E7E78E","PanAsia-2"
"FJ175662/ISR/cattle/2007/O","ISR","cattle","2007","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#E6E68C","PanAsia-2"
"FJ175663/ISR/cattle/2007/O","ISR","cattle","2007","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#ECEC99","PanAsia-2"
"FJ175664/ISR/cattle/2007/O","ISR","cattle","2007","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#EBEB98","PanAsia-2"
"FJ175665/ISR/cattle/2007/O","ISR","cattle","2007","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#EAEA96","PanAsia-2"
"FJ175666/ISR/cattle/2007/O","ISR","cattle","2007","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#EBEB98","PanAsia-2"
"FJ461344/UGA/cow/2002/O","UGA","cow","2002","O","EAST-AFRICA-2-EA-2","#BABA1E",""
"FJ461345/UGA/Unknown/2002/O","UGA","Unknown","2002","O","EAST-AFRICA-2-EA-2","#BABA1D",""
"FJ542365/GBR/cattle/2001/O","GBR","cattle","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F3F3AC","PanAsia"
"FJ542366/GBR/sheep/2001/O","GBR","sheep","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F4F4AE","PanAsia"
"FJ542367/GBR/cattle/2001/O","GBR","cattle","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F4F4AE","PanAsia"
"FJ542368/GBR/cattle/2001/O","GBR","cattle","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F2F2A8","PanAsia"
"FJ542369/GBR/sheep/2001/O","GBR","sheep","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F3F3AC","PanAsia"
"FJ542370/GBR/cattle/2001/O","GBR","cattle","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F4F4AD","PanAsia"
"FJ542371/GBR/cattle/2001/O","GBR","cattle","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F2F2A9","PanAsia"
"FJ542372/GBR/cattle/2001/O","GBR","cattle","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F4F4AD","PanAsia"
"FJ623456/KAZ/Unknown/1999/A","KAZ","Unknown","1999","A","ASIA","#9D98BF","A22"
"FJ906802/CHN/pig/2006/Asia1","CHN","pig","2006","Asia1","ASIA","#7AA10C",""
"GQ406247/VNM/cattle/2009/A","VNM","cattle","2009","A","ASIA","#B9B4D8","Sea-97"
"GQ406248/VNM/cattle/2009/A","VNM","cattle","2009","A","ASIA","#B9B4D7","Sea-97"
