GBAC,country,host,collection_date,serotype,Topotype,lineage,color,pool
AY317098/Unknown/Unknown/2002/O,,Unknown,2002,O,CATHAY,,#B8B818,Unknown
AY390432/Unknown/Unknown/2005/Asia1,,Unknown,2005,Asia1,ASIA,,#41978A,Unknown
AY593751/NLD/Unknown/1942/A,NLD,Unknown,1942,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8983AD,Unknown
AY593753/BRA/Unknown/1958/A,BRA,Unknown,1958,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8E89B2,Pool7
AY593754/ESP/Unknown/1959/A,ESP,Unknown,1959,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8D87B1,Unknown
AY593755/THA/Unknown/1960/A,THA,Unknown,1960,A,ASIA,,#817BA6,Pool1
AY593756/BRA/Unknown/1959/A,BRA,Unknown,1959,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#908AB3,Pool7
AY593757/BRA/Unknown/1967/A,BRA,Unknown,1967,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8D88B1,Pool7
AY593758/VEN/Unknown/1967/A,VEN,Unknown,1967,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8E88B1,Pool7
AY593759/DEU/Unknown/1971/A,DEU,Unknown,1971,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8A84AE,Unknown
AY593760/RUS/Unknown/1964/A,RUS,Unknown,1964,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8B86AF,Pool1/Pool3
AY593761/KEN/Unknown/1964/A,KEN,Unknown,1964,A,AFRICA,,#847EA8,Pool4
AY593762/IRQ/Unknown/1964/A,IRQ,Unknown,1964,A,ASIA,A22,#9E98BF,Pool3
AY593763/IRQ/Unknown/1964/A,IRQ,Unknown,1964,A,ASIA,A22,#9D98BF,Pool3
AY593764/IRQ/Unknown/1970/A,IRQ,Unknown,1970,A,ASIA,A22,#9D98BF,Pool3
AY593765/TUR/Unknown/1965/A,TUR,Unknown,1965,A,ASIA,A22,#9D97BE,Pool3
AY593766/KEN/Unknown/1965/A,KEN,Unknown,1965,A,?',,#817BA6,Pool4
AY593767/ARG/Unknown/1965/A,ARG,Unknown,1965,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8B85AF,Pool7
AY593768/BRA/Unknown/1955/A,BRA,Unknown,1955,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#908BB4,Pool7
AY593769/ARG/Unknown/1959/A,ARG,Unknown,1959,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8983AD,Pool7
AY593770/ARG/Unknown/1966/A,ARG,Unknown,1966,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#908AB3,Pool7
AY593771/COL/Unknown/1967/A,COL,Unknown,1967,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8B85AF,Pool7
AY593772/TUR/Unknown/1972/A,TUR,Unknown,1972,A,ASIA,A22,#9C97BE,Pool3
AY593773/PER/Unknown/1969/A,PER,Unknown,1969,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#918CB5,Pool7
AY593774/ESP/Unknown/1969/A,ESP,Unknown,1969,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8A84AE,Unknown
AY593775/VEN/Unknown/1970/A,VEN,Unknown,1970,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#918CB4,Pool7
AY593776/DEU/Unknown/1968/A,DEU,Unknown,1968,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8984AD,Unknown
AY593779/DEU/Unknown/1972/A,DEU,Unknown,1972,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8B85AE,Unknown
AY593780/FRA/Unknown/1960/A,FRA,Unknown,1960,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8D87B0,Unknown
AY593781/DEU/Unknown/1951/A,DEU,Unknown,1951,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8C87B0,Unknown
AY593782/ARG/Unknown/2000/A,ARG,Unknown,2000,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#928CB5,Pool7
AY593783/ARG/Unknown/2001/A,ARG,Unknown,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9792BA,Pool7
AY593784/ARG/Unknown/2001/A,ARG,Unknown,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9791B9,Pool7
AY593785/ARG/Unknown/2001/A,ARG,Unknown,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9691B9,Pool7
AY593786/ARG/Unknown/2001/A,ARG,Unknown,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9893BB,Pool7
AY593788/BRA/Unknown/1958/A,BRA,Unknown,1958,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8F8AB3,Pool7
AY593789/ARG/Unknown/1961/A,ARG,Unknown,1961,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8882AC,Pool7
AY593790/ARG/Unknown/2001/A,ARG,Unknown,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9B95BD,Pool7
AY593791/IRN/Unknown/1998/A,IRN,Unknown,1998,A,ASIA,Iran-96,#9E99C0,Pool3
AY593792/ITA/Unknown/1962/A,ITA,Unknown,1962,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8C86AF,Unknown
AY593793/PHL/Unknown/1975/A,PHL,Unknown,1975,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#918BB4,Unknown
AY593794/COL/Unknown/1985/A,COL,Unknown,1985,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#908AB3,Pool7
AY593795/PAK/Unknown/1954/Asia1,PAK,Unknown,1954,Asia1,ASIA,,#3D9487,Pool3
AY593796/ISR/Unknown/1963/Asia1,ISR,Unknown,1963,Asia1,ASIA,,#41978B,Pool3
AY593798/LBN/Unknown/1983/Asia1,LBN,Unknown,1983,Asia1,ASIA,,#4FA396,Pool3
AY593799/LBN/Unknown/1983/Asia1,LBN,Unknown,1983,Asia1,ASIA,,#4EA195,Pool3
AY593800/LBN/Unknown/1983/Asia1,LBN,Unknown,1983,Asia1,ASIA,,#4EA295,Pool3
AY593801/URY/Unknown/1968/A,URY,Unknown,1968,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9690B8,Pool7
AY593802/URY/Unknown/2001/A,URY,Unknown,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9690B8,Pool7
AY593803/BRA/Unknown/1979/A,BRA,Unknown,1979,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8F89B2,Pool7
AY593804/CHE/Unknown/1965/C,CHE,Unknown,1965,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#C1EC79,Unknown
AY593805/DEU/Unknown/1960/C,DEU,Unknown,1960,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#BCE671,Unknown
AY593806/BRA/Unknown/1971/C,BRA,Unknown,1971,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#94BD34,Pool7
AY593807/BRA/Unknown/1955/C,BRA,Unknown,1955,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#A3CC4B,Pool7
AY593808/ARG/Unknown/1966/C,ARG,Unknown,1966,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#ADD75A,Pool7
AY593809/ARG/Unknown/1969/C,ARG,Unknown,1969,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#99C23C,Pool7
AY593810/GBR/Unknown/1970/C,GBR,Unknown,1970,C,V-East-Africa-EA,,#8AB225,Unknown
AY593811/PHL/Unknown/1958/O,PHL,Unknown,1958,O,SOUTHEAST-ASIA-SEA,,#BEBE28,Unknown
AY593812/PHL/Unknown/1958/O,PHL,Unknown,1958,O,SOUTHEAST-ASIA-SEA,,#BEBE28,Unknown
AY593813/IDN/Unknown/1962/O,IDN,Unknown,1962,O,INDONESIA-1-ISA-1-1,,#AEAE00,Unknown
AY593814/ARG/Unknown/1965/O,ARG,Unknown,1965,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AFAF03,Pool7
AY593817/BEL/Unknown/1973/O,BEL,Unknown,1973,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AFAF03,Unknown
AY593818/ARG/Unknown/1958/O,ARG,Unknown,1958,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AFAF02,Pool7
AY593820/ARG/Unknown/1964/O,ARG,Unknown,1964,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE01,Pool7
AY593821/ARG/Unknown/1967/O,ARG,Unknown,1967,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE01,Pool7
AY593823/TUR/Unknown/1969/O,TUR,Unknown,1969,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#D2D259,Pool3
AY593824/KOR/Unknown/2000/O,KOR,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EEEEA0,Pool1
AY593825/ARG/Unknown/1939/O,ARG,Unknown,1939,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE00,Pool7
AY593826/ITA/Unknown/1947/O,ITA,Unknown,1947,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE00,Unknown
AY593827/VEN/Unknown/1971/O,VEN,Unknown,1971,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE00,Pool7
AY593828/IND/Unknown/1962/O,IND,Unknown,1962,O,SOUTHEAST-ASIA-SEA,,#BEBE28,Pool2
AY593829/GBR/Unknown/1965/O,GBR,Unknown,1965,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE01,Unknown
AY593830/POL/Unknown/1959/O,POL,Unknown,1959,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE02,Unknown
AY593831/GBR/Unknown/2002/O,GBR,Unknown,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A9,Unknown
AY593832/GBR/Unknown/2002/O,GBR,Unknown,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A8,Unknown
AY593833/TWN/Unknown/1999/O,TWN,Unknown,1999,O,CATHAY,,#B7B718,Pool1
AY593834/IRN/Unknown/1966/O,IRN,Unknown,1966,O,SOUTHEAST-ASIA-SEA,,#B9B91C,Pool3
AY593835/TWN/Unknown/1997/O,TWN,Unknown,1997,O,CATHAY,,#B7B718,Pool1
AY593836/GBR/Unknown/2001/O,GBR,Unknown,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A9,Unknown
AY593837/URY/Unknown/1963/O,URY,Unknown,1963,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#AEAE01,Pool7
AY593838/BWA/Unknown/1970/SAT1,BWA,Unknown,1970,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C18319,Pool6
AY593840/NAM/Unknown/1949/SAT1,NAM,Unknown,1949,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C2841D,Pool6
AY593841/ZWE/Unknown/1958/SAT1,ZWE,Unknown,1958,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C2831B,Pool6
AY593842/ZAF/Unknown/1961/SAT1,ZAF,Unknown,1961,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C3851F,Pool6
AY593843/NAM/Unknown/1940/SAT1,NAM,Unknown,1940,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C68824,Pool6
AY593844/ISR/Unknown/1962/SAT1,ISR,Unknown,1962,SAT1,VI,,#BD7E11,Pool3
AY593845/BWA/Unknown/1968/SAT1,BWA,Unknown,1968,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C58722,Pool6
AY593846/ZWE/Unknown/1966/SAT1,ZWE,Unknown,1966,SAT1,ASIA,,#C88B29,Pool6
AY593847/ZWE/Unknown/1948/SAT2,ZWE,Unknown,1948,SAT2,III,,#DC542A,Pool6
AY593848/Unknown/Unknown/1967/SAT2,,Unknown,1967,SAT2,I,,#DB5328,Unknown
AY593849/KEN/Unknown/1960/SAT2,KEN,Unknown,1960,SAT2,IX,,#D03803,Pool4
AY593850/ZAF/Unknown/1959/SAT3,ZAF,Unknown,1959,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ,,#85B6D8,Pool6
AY593851/BWA/Unknown/1961/SAT3,BWA,Unknown,1961,SAT3,II-WESTERN-ZIMBABWE-WZ,,#5185A5,Pool6
AY593852/KEN/Unknown/1960/SAT3,KEN,Unknown,1960,SAT3,II-WESTERN-ZIMBABWE-WZ,,#4D81A1,Pool4
AY593853/BWA/Unknown/1965/SAT3,BWA,Unknown,1965,SAT3,II-WESTERN-ZIMBABWE-WZ,,#5D90B1,Pool6
AY686687/Unknown/Unknown/2001/O,,Unknown,2001,O,CATHAY,,#B7B717,Unknown
DQ404158/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AB,Unknown
DQ404159/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AA,Unknown
DQ404160/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AA,Unknown
DQ404161/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2AA,Unknown
DQ404162/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A9,Unknown
DQ404163/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A8,Unknown
DQ404164/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A4,Unknown
DQ404165/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F4F4AE,Unknown
DQ404166/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F4F4AE,Unknown
DQ404167/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F4F4AE,Unknown
DQ404168/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A9,Unknown
DQ404169/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AB,Unknown
DQ404170/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F4F4AD,Unknown
DQ404171/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A3,Unknown
DQ404172/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A8,Unknown
DQ404173/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2A8,Unknown
DQ404174/IRL/sheep/2001/O,IRL,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A4,Unknown
DQ404175/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA2,Unknown
DQ404176/GBR/cow/2001/O,GBR,cow,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A6,Unknown
DQ404177/GBR/pig/2001/O,GBR,pig,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A6,Unknown
DQ404178/GBR/pig/2001/O,GBR,pig,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A7,Unknown
DQ404179/GBR/pig/2001/O,GBR,pig,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A5,Unknown
DQ404180/GBR/pig/2001/O,GBR,pig,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A7,Unknown
DQ533483/CHN/Unknown/1958/Asia1,CHN,Unknown,1958,Asia1,ASIA,,#409689,Pool1
DQ989303/IND/cattle/1993/Asia1,IND,cattle,1993,Asia1,ASIA,,#459A8D,Pool2
DQ989304/IND/cattle/2000/Asia1,IND,cattle,2000,Asia1,ASIA,,#44998D,Pool2
DQ989305/IND/cattle/1990/Asia1,IND,cattle,1990,Asia1,ASIA,,#52A598,Pool2
DQ989306/IND/cattle/1986/Asia1,IND,cattle,1986,Asia1,ASIA,,#43998C,Pool2
DQ989307/IND/cattle/1992/Asia1,IND,cattle,1992,Asia1,ASIA,,#51A497,Pool2
DQ989308/IND/cattle/1994/Asia1,IND,cattle,1994,Asia1,ASIA,,#5CADA1,Pool2
DQ989309/IND/cattle/1996/Asia1,IND,cattle,1996,Asia1,ASIA,,#5EAFA2,Pool2
DQ989310/IND/cattle/1999/Asia1,IND,cattle,1999,Asia1,ASIA,,#5FAFA3,Pool2
DQ989311/IND/buffalo/2002/Asia1,IND,buffalo,2002,Asia1,ASIA,,#5FB0A3,Pool2
DQ989312/IND/sheep/1990/Asia1,IND,sheep,1990,Asia1,ASIA,,#50A397,Pool2
DQ989313/IND/buffalo/1986/Asia1,IND,buffalo,1986,Asia1,ASIA,,#63B3A6,Pool2
DQ989314/IND/cattle/2001/Asia1,IND,cattle,2001,Asia1,ASIA,,#54A79A,Pool2
DQ989315/IND/cattle/1993/Asia1,IND,cattle,1993,Asia1,ASIA,,#52A599,Pool2
DQ989317/IND/buffalo/2000/Asia1,IND,buffalo,2000,Asia1,ASIA,,#53A699,Pool2
DQ989318/IND/cattle/2002/Asia1,IND,cattle,2002,Asia1,ASIA,,#56A99C,Pool2
DQ989319/IND/cattle/2001/Asia1,IND,cattle,2001,Asia1,ASIA,,#56A89B,Pool2
DQ989320/IND/cattle/2002/Asia1,IND,cattle,2002,Asia1,ASIA,,#59AB9E,Pool2
DQ989321/IND/cattle/2001/Asia1,IND,cattle,2001,Asia1,ASIA,,#55A79B,Pool2
DQ989322/IND/cattle/2002/Asia1,IND,cattle,2002,Asia1,ASIA,,#57A99D,Pool2
DQ989323/IND/cattle/2002/Asia1,IND,cattle,2002,Asia1,ASIA,,#58AA9D,Pool2
EF117837/PAK/cattle/2006/A,PAK,cattle,2006,A,ASIA,Iran-05,#ABA6CB,Pool3
EF149009/CHN/Unknown/2005/Asia1,CHN,Unknown,2005,Asia1,ASIA,,#459B8E,Pool1
EF149010/CHN/Unknown/2005/Asia1,CHN,Unknown,2005,Asia1,ASIA,,#5BADA0,Pool1
EF175732/CHN/Unknown/1999/O,CHN,Unknown,1999,O,CATHAY,,#B8B818,Pool1
EF494486/TUR/cattle/2005/A,TUR,cattle,2005,A,ASIA,Iran-05,#ACA7CC,Pool3
EF494487/PAK/cattle/2006/A,PAK,cattle,2006,A,ASIA,Iran-05,#ABA6CB,Pool3
EF494488/PAK/cattle/2006/A,PAK,cattle,2006,A,ASIA,Iran-05,#AAA5CA,Pool3
EF552688/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A3,Unknown
EF552689/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AC,Unknown
EF552690/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AC,Unknown
EF552691/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AC,Unknown
EF552692/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F4F4AD,Unknown
EF552693/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F4F4AD,Unknown
EF552694/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F4F4AE,Unknown
EF552695/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AC,Unknown
EF552696/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA2,Unknown
EF552697/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AB,Unknown
EF614457/KOR/cattle/2002/O,KOR,cattle,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EDED9C,Pool1
EF614458/MNG/cattle/2005/Asia1,MNG,cattle,2005,Asia1,ASIA,,#499E91,Pool1
EU214601/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AB,Unknown
EU400597/CHN/Unknown/2001/O,CHN,Unknown,2001,O,CATHAY,,#B8B819,Pool1
EU448368/GBR/cow/1967/O,GBR,cow,1967,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B0B006,Unknown
EU448369/GBR/cow/1967/O,GBR,cow,1967,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B0B007,Unknown
EU448370/GBR/cow/1967/O,GBR,cow,1967,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B0B006,Unknown
EU448371/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B3B30D,Unknown
EU448372/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B3B30D,Unknown
EU448373/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B3B30C,Unknown
EU448374/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B4B40E,Unknown
EU448375/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B5B512,Unknown
EU448376/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B4B40F,Unknown
EU448377/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B5B512,Unknown
EU448378/GBR/sheep/2007/O,GBR,sheep,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B4B40F,Unknown
EU448379/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B6B613,Unknown
EU448380/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B6B615,Unknown
EU448381/GBR/cow/2007/O,GBR,cow,2007,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B5B511,Unknown
FJ175661/ISR/goat/2007/O,ISR,goat,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E6E68B,Pool3
FJ175662/ISR/cattle/2007/O,ISR,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E6E68B,Pool3
FJ175663/ISR/cattle/2007/O,ISR,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E9E994,Pool3
FJ175664/ISR/cattle/2007/O,ISR,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E9E993,Pool3
FJ175665/ISR/cattle/2007/O,ISR,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E8E891,Pool3
FJ175666/ISR/cattle/2007/O,ISR,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#E9E993,Pool3
FJ461344/UGA/cow/2002/O,UGA,cow,2002,O,EAST-AFRICA-2-EA-2,,#BABA1F,Pool4
FJ461345/UGA/Unknown/2002/O,UGA,Unknown,2002,O,EAST-AFRICA-2-EA-2,,#BABA1E,Pool4
FJ542365/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A6,Unknown
FJ542366/GBR/sheep/2001/O,GBR,sheep,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A5,Unknown
FJ542367/GBR/cattle/2001/O,GBR,cattle,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A5,Unknown
