Genbank accession,Year,Country,Host,Isolate,Strain,Serotype,Topotype,Lineage,pool,Reference Title,Isolation source
OQ211386,2007,ISR,cattle,KVI_540430,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle epithelium tissue; Moledet, Gilboa Regional Council, Israel, 2007"
OQ211385,2007,ISR,cattle,KVI_537746,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Mevo Hama, Golan Regional Council, Israel, 2007"
OQ211384,2007,ISR,cattle,KVI_547798,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"Lakiya, Local Council, Southern District, Israel, 2007; calf heart tissue"
OQ211383,2007,ISR,gazelle,KVI_546825*6,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"wild gazelle head tissue; Kochav Hayarden, Lower Galilee, Israel, 2007"
OQ211382,2007,ISR,gazelle,KVI_546423*5,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"wild gazelle head tissue; Kochav Hayarden, Lower Galilee, Israel, 2007"
OQ211381,2007,ISR,gazelle,KVI_546825*7,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"wild gazelle head tissue; Kochav Hayarden, Lower Galilee, Israel, 2007"
OQ211380,2007,ISR,cattle,KVI_555455,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Yifat, Jezreell, Valley Regional Concil, Israel, 2007"
OQ211378,2007,ISR,cattle,KVI_550962,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Kanaf, Golan Region Concil, Israel, 2007"
OQ211377,2007,ISR,cattle,KVI_548856,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle epithelium tissue; Kafr Qasem, Israel, 2007"
OQ211376,2007,ISR,cattle,KVI_549767,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle epithelium tissue; Kafr Qara, Local Council, Israel"
OQ211375,2007,PSE,sheep,KVI_547615*149,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"sheep heart tissue; Jifna, Ramalla and al-Bireh Governorate, Palestinian Authority, 2007"
OQ211374,2007,ISR,cattle,KVI_540975,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle epithelium tissue; Ilut, Local Council, Northen District, Israel"
OQ211373,2007,ISR,goat,KVI_547681#2,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"goat epithelium tissue; Hura, Southern District, Israel, 2007"
OQ211372,2007,ISR,goat,KVI_547681#1,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"goat epithelium tissue; Hura, Southern District, Israel, 2007"
OQ211371,2007,PSE,goat,KVI_550736*205,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"goat heart tissue; Hebron, Palestinian Authority, 2007"
OQ211370,2007,ISR,cattle,KVI_541840*2,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle epithelium; Gazit, Jezreel Regional Concil"
OQ211369,2007,ISR,cattle,KVI_540379,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Fassouta, local concil, Northen District, Israel, 2007"
OQ211367,2007,PSE,sheep,KVI_546398*138,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"sheep heart tissue; Dura, Hebron Governorate, Palestinian Authority, 2007"
OQ211366,2007,PSE,sheep,KVI_542481,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"sheep swab; Ad-Dhahiriya, Hebron Governorate, Palestinian Authority, 2007"
OQ211365,2007,PSE,sheep,KVI_542681_palest2,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"small ruminant mouth tissue; Deir Sammit, Hebron Governorate, Palestinian Authority, 2007"
OQ211364,2007,PSE,sheep,KVI_543974*77,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"sheep heart tissue; Deir Dibwan, Ramallah and al-Bireh Governorate, Palestinian Authority, 2007"
OQ211363,2007,ISR,sheep,KVI_545681,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"sheep heart tissue; Birzeit, located north of Ramallah, Palestinian Authority, 2007"
OQ211362,2007,PSE,sheep,KVI_545686,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"sheep heart tissue; Bir Nabala, West Bank, Palestinian Authority, 2007"
OQ211361,2007,ISR,sheep,KVI_551141,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"sheep heart tissue; Bir al-Maksur, Local concil, Northen District, Israel, 2007"
OQ211360,2007,ISR,cattle,KVI_548360,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Beit She'arim, Jezreel Valiey Regional Concil, Israel, 2007"
OQ211359,2007,ISR,cattle,KVI_(745)548850,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Beit She'arim, Jezreel Valiey Regional Concil, Israel, 2007"
OQ211358,2007,ISR,cattle,KVI_(193)548046,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Beit She'arim, Jezreel Valiey Regional Concil, Israel, 2007"
OQ211357,2007,ISR,cattle,KVI_548645,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Beit She'arim, Jezreel Valiey Regional Concil, Israel, 2007"
OQ211356,2007,ISR,cattle,KVI_(8)548046,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Beit She'arim, Jezreel Valiey Regional Concil, Israel, 2007"
OQ211355,2007,ISR,cattle,KVI_539838,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"calf probang tissue; Beit Hashita, Gilboa Regional Concil, Israel, 2007"
OQ211354,2007,PSE,cattle,KVI_542477_1a,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"catlle tongue tissue; Beit 'Amra, Hebron Governorate, Palestinian Authority, 2007"
OQ211353,2007,ISR,sheep,KVI_548013,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"small ruminant heart tissue; Basmat Tab'un, Northen District, Israel, 2007"
OQ211352,2007,ISR,cattle,KVI_545072,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle epithelium tissue; I'bilin, Northen district, Israel, 2007"
OQ211351,2007,ISR,goat,KVI_543442,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"goat heart tissue; Arab al-Aramshe, Western Galilee, Israel, 2007"
OQ211350,2007,ISR,cattle,KVI_542757,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Arab al-Aramshe, Western Galilee, Israel, 2007"
OQ211349,2007,PSE,sheep,KVI_548461*161,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"sheep heart tissue; Ajjah, Jenin Governorate, Palestinian Authority, 2007"
OQ557397,2022,ETH,cow,ETH/2/2022,,SAT2,XIV,,Pool4,Genome sequences of SAT 2 foot-and-mouth disease viruses belonging to topotype XIV,Not found
