GBAC,country,host,collection_date,serotype,Topotype
OM562576/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562571/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562566/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562565/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562563/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562560/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562559/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562558/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562557/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562556/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562555/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562547/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562546/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562545/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562543/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562542/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562541/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562540/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562539/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562538/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562537/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562536/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562535/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562534/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562533/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562532/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562531/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562530/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562529/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562528/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562527/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562526/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562525/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562524/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562523/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562522/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562521/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562520/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562519/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562518/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562517/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562516/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562515/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
OM562514/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
