Position in JF749864/Unknown/Unknown/2003/SAT2, Recombination breakpoint number (200nt win), Upper 99% CI, Lower 99% CI, Upper 95% CI, Lower 95% CI
345,0,3,0,2,0
347,0,3,0,2,0
349,0,3,0,2,0
351,0,3,0,2,0
353,0,3,0,2,0
355,0,3,0,2,0
357,0,3,0,2,0
359,0,3,0,2,0
361,0,3,0,2,0
363,0,3,0,2,0
365,0,3,0,2,0
367,0,3,0,2,0
369,0,3,0,2,0
371,0,3,0,2,0
373,0,3,0,2,0
375,0,3,0,2,0
377,0,3,0,2,0
379,0,3,0,2,0
381,0,3,0,2,0
383,0,3,0,2,0
385,0,3,0,2,0
387,0,3,0,2,0
389,0,3,0,2,0
391,0,3,0,2,0
393,1,3,0,2,0
395,1,3,0,2,0
397,1,3,0,2,0
399,2,3,0,2,0
401,2,3,0,2,0
403,2,3,0,2,0
405,2,3,0,2,0
407,2,3,0,2,0
409,2,3,0,2,0
411,2,3,0,2,0
413,2,3,0,2,0
415,2,3,0,2,0
417,2,3,0,2,0
419,2,3,0,2,0
421,2,3,0,2,0
423,2,3,0,2,0
425,2,3,0,2,0
427,2,3,0,2,0
429,2,3,0,2,0
431,2,3,0,2,0
433,2,3,0,2,0
435,2,3,0,2,0
437,2,3,0,2,0
439,2,3,0,2,0
441,2,3,0,2,0
443,2,3,0,2,0
445,2,3,0,2,0
447,2,3,0,2,0
449,2,3,0,2,0
451,2,3,0,2,0
453,2,3,0,2,0
455,2,3,0,2,0
457,2,3,0,2,0
459,2,3,0,2,0
461,2,3,0,2,0
463,2,3,0,2,0
465,2,3,0,2,0
467,2,2,0,2,0
469,2,2,0,2,0
471,2,2,0,2,0
473,2,3,0,2,0
475,2,3,0,2,0
477,2,3,0,2,0
479,2,3,0,2,0
481,2,3,0,2,0
483,2,3,0,2,0
485,2,3,0,2,0
487,2,3,0,2,0
489,2,3,0,2,0
491,2,3,0,2,0
493,2,3,0,2,0
495,2,3,0,2,0
497,2,3,0,2,0
499,2,3,0,2,0
501,2,3,0,2,0
503,2,3,0,2,0
505,2,3,0,2,0
507,2,3,0,2,0
509,2,3,0,2,0
511,2,3,0,2,0
513,2,3,0,2,0
515,2,3,0,2,0
517,2,3,0,2,0
519,2,3,0,2,0
521,3,3,0,2,0
523,3,3,0,2,0
525,3,3,0,2,0
527,3,3,0,2,0
529,3,3,0,2,0
531,3,3,0,2,0
533,3,3,0,2,0
535,3,3,0,2,0
537,3,3,0,2,0
539,4,3,0,2,0
541,4,3,0,2,0
543,4,3,0,2,0
545,4,3,0,2,0
547,4,3,0,2,0
549,4,3,0,2,0
551,4,3,0,2,0
553,4,3,0,2,0
555,4,3,0,2,0
557,4,3,0,2,0
559,4,3,0,2,0
561,4,3,0,2,0
563,5,3,0,2,0
565,5,3,0,2,0
567,5,3,0,2,0
569,5,3,0,2,0
571,5,3,0,2,0
573,5,3,0,2,0
575,5,3,0,2,0
577,5,3,0,2,0
579,5,3,0,2,0
581,5,3,0,2,0
583,5,3,0,2,0
585,5,3,0,2,0
587,5,3,0,2,0
589,5,3,0,2,0
591,5,3,0,2,0
593,4,3,0,2,0
595,4,3,0,2,0
597,4,3,0,2,0
599,3,3,0,2,0
601,3,3,0,2,0
603,3,3,0,2,0
605,3,3,0,2,0
607,3,3,0,2,0
609,3,3,0,2,0
611,3,3,0,2,0
613,3,3,0,2,0
615,3,3,0,2,0
617,3,3,0,2,0
619,3,3,0,2,0
621,3,3,0,2,0
623,3,3,0,2,0
625,3,3,0,2,0
627,3,3,0,2,0
629,3,3,0,2,0
631,3,3,0,2,0
633,3,3,0,2,0
635,3,3,0,2,0
637,3,3,0,2,0
639,3,3,0,2,0
641,4,3,0,2,0
643,4,3,0,2,0
645,4,3,0,2,0
647,4,3,0,2,0
649,4,3,0,2,0
651,4,3,0,2,0
653,4,3,0,2,0
655,4,3,0,2,0
657,4,3,0,2,0
659,4,3,0,2,0
661,4,3,0,2,0
663,4,3,0,2,0
665,4,3,0,2,0
667,4,3,0,2,0
669,4,3,0,2,0
671,4,3,0,2,0
673,4,3,0,2,0
675,4,3,0,2,0
677,4,3,0,2,0
679,4,3,0,2,0
681,4,3,0,2,0
683,4,3,0,2,0
685,4,3,0,2,0
687,4,3,0,2,0
689,4,3,0,2,0
691,4,3,0,2,0
693,4,3,0,2,0
695,4,3,0,2,0
697,4,3,0,2,0
699,4,3,0,2,0
701,4,3,0,2,0
703,4,3,0,2,0
705,4,3,0,2,0
707,4,3,0,2,0
709,4,3,0,2,0
711,4,3,0,2,0
713,4,3,0,2,0
715,4,3,0,2,0
717,4,3,0,2,0
719,4,3,0,2,0
721,3,3,0,2,0
723,3,3,0,2,0
725,3,3,0,2,0
727,3,3,0,2,0
729,3,3,0,2,0
731,3,3,0,2,0
733,3,3,0,2,0
735,3,3,0,2,0
737,3,3,0,2,0
739,2,3,0,2,0
741,2,3,0,2,0
743,2,3,0,2,0
745,2,3,0,2,0
747,2,3,0,2,0
749,2,3,0,2,0
751,2,3,0,2,0
753,2,3,0,2,0
755,2,3,0,2,0
757,2,3,0,2,0
759,2,3,0,2,0
761,2,3,0,2,0
763,1,3,0,2,0
765,1,3,0,2,0
767,1,3,0,2,0
769,1,3,0,2,0
771,1,3,0,3,0
773,1,3,0,3,0
775,1,3,0,3,0
777,1,3,0,3,0
779,1,3,0,3,0
781,1,3,0,3,0
783,1,3,0,3,0
785,1,3,0,3,0
787,1,3,0,3,0
789,1,3,0,3,0
791,1,3,0,3,0
793,1,3,0,3,0
795,1,3,0,2,0
797,1,3,0,2,0
799,1,3,0,2,0
801,1,3,0,2,0
803,1,3,0,2,0
805,1,3,0,2,0
807,1,3,0,3,0
809,1,3,0,2,0
811,1,3,0,2,0
813,1,3,0,2,0
815,1,3,0,2,0
817,1,3,0,2,0
819,1,3,0,3,0
821,1,3,0,3,0
823,1,3,0,3,0
825,1,3,0,3,0
827,1,3,0,3,0
829,1,3,0,3,0
831,1,4,0,3,0
833,1,4,0,3,0
835,1,4,0,3,0
837,1,3,0,3,0
839,1,3,0,3,0
841,0,3,0,3,0
843,0,3,0,3,0
845,0,3,0,3,0
847,0,3,0,3,0
849,0,3,0,3,0
851,0,3,0,3,0
853,0,3,0,3,0
855,0,3,0,3,0
857,0,3,0,3,0
859,0,3,0,3,0
861,0,3,0,3,0
863,0,3,0,3,0
865,0,3,0,3,0
867,0,3,0,3,0
869,0,3,0,3,0
871,0,3,0,3,0
873,0,3,0,3,0
875,0,4,0,3,0
877,0,4,0,3,0
879,0,4,0,3,0
881,0,4,0,3,0
883,0,4,0,3,0
885,0,4,0,3,0
887,0,4,0,3,0
889,0,4,0,3,0
891,0,4,0,3,0
893,0,4,0,3,0
895,0,4,0,3,0
897,0,4,0,3,0
899,0,4,0,3,0
901,0,4,0,3,0
903,0,4,0,3,0
905,0,4,0,3,0
907,0,4,0,3,0
909,0,4,0,3,0
911,0,4,0,3,0
913,0,4,0,3,0
915,0,4,0,3,0
917,0,4,0,3,0
919,0,4,0,3,0
921,0,4,0,3,0
923,0,4,0,3,0
925,0,4,0,3,0
927,0,4,0,3,0
929,0,4,0,3,0
931,0,4,0,3,0
933,0,4,0,3,0
935,0,4,0,3,0
937,0,4,0,3,0
939,0,4,0,3,0
941,0,4,0,3,0
943,0,4,0,3,0
945,0,4,0,3,0
947,0,4,0,3,0
949,0,4,0,3,0
951,0,4,0,3,0
953,0,4,0,3,0
955,0,4,0,3,0
957,0,4,0,3,0
959,0,4,0,3,0
961,0,4,0,3,0
963,0,4,0,3,0
965,0,4,0,3,0
967,0,4,0,3,0
969,0,4,0,3,0
971,0,4,0,3,0
973,0,4,0,3,0
975,0,4,0,3,0
977,0,4,0,3,0
979,0,4,0,3,0
981,0,4,0,3,0
983,0,4,0,3,0
985,0,4,0,3,0
987,0,4,0,3,0
989,0,4,0,3,0
991,0,4,0,3,0
993,0,4,0,3,0
995,0,4,0,3,0
997,0,4,0,3,0
999,0,4,0,3,0
1001,1,4,0,3,0
1003,1,4,0,3,0
1005,1,4,0,3,0
1007,1,4,0,3,0
1009,1,4,0,3,0
1011,1,4,0,3,0
1013,1,4,0,3,0
1015,1,4,0,3,0
1017,1,4,0,3,0
1019,1,4,0,3,0
1021,1,4,0,3,0
1023,1,4,0,3,0
1025,1,4,0,3,0
1027,1,4,0,3,0
1029,1,4,0,3,0
1031,1,4,0,3,0
1033,1,4,0,3,0
1035,1,4,0,3,0
1037,1,4,0,3,0
1039,1,4,0,3,0
1041,1,4,0,3,0
1043,1,4,0,3,0
1045,1,4,0,3,0
1047,1,4,0,3,0
1049,1,4,0,3,0
1051,1,4,0,3,0
1053,1,4,0,3,0
1055,1,4,0,3,0
1057,1,4,0,3,0
1059,1,4,0,3,0
1061,1,4,0,3,0
1063,1,4,0,3,0
1065,1,4,0,3,0
1067,1,4,0,3,0
1069,1,4,0,3,0
1071,1,4,0,3,0
1073,1,4,0,3,0
1075,1,4,0,3,0
1077,1,4,0,3,0
1079,1,4,0,3,0
1081,1,4,0,3,0
1083,1,4,0,3,0
1085,1,4,0,3,0
1087,1,4,0,3,0
1089,1,4,0,3,0
1091,1,4,0,3,0
1093,1,4,0,3,0
1095,1,4,0,3,0
1097,1,4,0,3,0
1099,1,4,0,3,0
1101,1,4,0,3,0
1103,1,4,0,3,0
1105,1,4,0,3,0
1107,1,3,0,3,0
1109,1,3,0,3,0
1111,1,3,0,3,0
1113,1,3,0,3,0
1115,1,3,0,3,0
1117,1,3,0,3,0
1119,1,3,0,3,0
1121,1,3,0,2,0
1123,1,3,0,2,0
1125,1,3,0,2,0
1127,1,3,0,2,0
1129,1,3,0,2,0
1131,1,3,0,2,0
1133,1,3,0,2,0
1135,1,3,0,2,0
1137,1,3,0,2,0
1139,1,3,0,2,0
1141,1,3,0,2,0
1143,1,3,0,2,0
1145,1,3,0,2,0
1147,1,3,0,2,0
1149,1,3,0,2,0
1151,1,3,0,3,0
1153,1,3,0,3,0
1155,1,3,0,3,0
1157,1,3,0,3,0
1159,1,3,0,3,0
1161,1,4,0,3,0
1163,1,4,0,3,0
1165,1,4,0,3,0
1167,1,4,0,3,0
1169,1,4,0,3,0
1171,1,4,0,3,0
1173,1,4,0,3,0
1175,1,3,0,3,0
1177,1,3,0,3,0
1179,1,3,0,3,0
1181,1,3,0,3,0
1183,1,3,0,3,0
1185,1,3,0,3,0
1187,1,3,0,3,0
1189,1,3,0,3,0
1191,1,3,0,3,0
1193,1,3,0,3,0
1195,1,3,0,3,0
1197,1,3,0,3,0
1199,1,3,0,3,0
1201,0,3,0,3,0
1203,0,3,0,3,0
1205,0,3,0,3,0
1207,0,3,0,3,0
1209,0,3,0,3,0
1211,0,3,0,3,0
1213,0,3,0,3,0
1215,0,3,0,3,0
1217,0,3,0,3,0
1219,0,3,0,3,0
1221,0,3,0,3,0
1223,0,3,0,3,0
1225,0,3,0,3,0
1227,0,3,0,3,0
1229,0,4,0,3,0
1231,0,4,0,3,0
1233,0,4,0,3,0
1235,0,4,0,3,0
1237,0,4,0,3,0
1239,0,4,0,3,0
1241,0,4,0,3,0
1243,0,4,0,3,0
1245,0,4,0,3,0
1247,0,4,0,3,0
1249,0,4,0,3,0
1251,0,4,0,3,0
1253,0,4,0,3,0
1255,0,4,0,3,0
1257,0,4,0,3,0
1259,0,4,0,3,0
1261,0,4,0,3,0
1263,0,4,0,3,0
1265,0,4,0,3,0
1267,0,4,0,3,0
1269,0,4,0,3,0
1271,0,4,0,3,0
1273,0,4,0,3,0
1275,0,4,0,3,0
1277,0,4,0,3,0
1279,0,4,0,3,0
1281,0,4,0,3,0
1283,0,4,0,3,0
1285,0,4,0,3,0
1287,0,4,0,3,0
1289,0,4,0,3,0
1291,0,4,0,3,0
1293,0,4,0,3,0
1295,0,4,0,3,0
1297,0,4,0,3,0
1299,0,4,0,3,0
1301,0,4,0,3,0
1303,0,4,0,3,0
1305,0,4,0,3,0
1307,0,4,0,3,0
1309,0,4,0,3,0
1311,0,4,0,3,0
1313,0,4,0,3,0
1315,0,4,0,3,0
1317,0,4,0,3,0
1319,0,4,0,3,0
1321,0,4,0,3,0
1323,0,4,0,3,0
1325,0,4,0,3,0
1327,0,4,0,3,0
1329,0,4,0,3,0
1331,0,4,0,3,0
1333,0,4,0,3,0
1335,0,4,0,3,0
1337,0,4,0,3,0
1339,0,4,0,3,0
1341,0,4,0,3,0
1343,0,4,0,3,0
1345,0,4,0,3,0
1347,0,4,0,3,0
1349,0,4,0,3,0
1351,0,4,0,3,0
1353,0,3,0,3,0
1355,0,3,0,3,0
1357,0,3,0,3,0
1359,0,3,0,3,0
1361,0,3,0,3,0
1363,0,3,0,3,0
1365,0,3,0,3,0
1367,0,3,0,3,0
1369,0,3,0,3,0
1371,0,4,0,3,0
1373,0,4,0,3,0
1375,0,3,0,3,0
1377,0,3,0,3,0
1379,0,4,0,3,0
1381,0,4,0,3,0
1383,0,4,0,3,0
1385,0,4,0,3,0
1387,0,4,0,3,0
1389,0,4,0,3,0
1391,0,4,0,3,0
1393,0,4,0,3,0
1395,0,4,0,3,0
1397,0,4,0,3,0
1399,0,4,0,3,0
1401,0,4,0,3,0
1403,0,4,0,3,0
1405,0,4,0,3,0
1407,0,4,0,3,0
1409,0,4,0,3,0
1411,0,4,0,3,0
1413,0,4,0,3,0
1415,0,4,0,3,0
1417,0,4,0,3,0
1419,0,4,0,3,0
1421,0,4,0,3,0
1423,0,4,0,3,0
1425,0,4,0,3,0
1427,0,4,0,3,0
1429,0,4,0,3,0
1431,0,4,0,3,0
1433,0,4,0,3,0
1435,0,4,0,3,0
1437,0,4,0,3,0
1439,0,4,0,3,0
1441,0,4,0,3,0
1443,0,4,0,3,0
1445,0,4,0,3,0
1447,0,4,0,3,0
1449,0,4,0,3,0
1451,0,4,0,3,0
1453,0,4,0,3,0
1455,0,4,0,3,0
1457,0,4,0,3,0
1459,0,4,0,3,0
1461,0,4,0,3,0
1463,0,4,0,3,0
1465,0,4,0,3,0
1467,0,4,0,3,0
1469,0,4,0,3,0
1471,0,4,0,3,0
1473,0,4,0,3,0
1475,0,4,0,3,0
1477,0,4,0,3,0
1479,0,4,0,3,0
1481,0,4,0,3,0
1483,0,4,0,3,0
1485,0,4,0,3,0
1487,0,4,0,3,0
1489,0,4,0,3,0
1491,0,4,0,3,0
1493,0,4,0,3,0
1495,0,4,0,3,0
1497,0,4,0,3,0
1499,0,4,0,3,0
1501,0,4,0,3,0
1503,0,4,0,3,0
1505,0,4,0,3,0
1507,0,4,0,3,0
1509,0,4,0,3,0
1511,0,4,0,3,0
1513,0,4,0,3,0
1515,0,4,0,3,0
1517,0,4,0,3,0
1519,0,4,0,3,0
1521,0,4,0,3,0
1523,0,4,0,3,0
1525,0,4,0,3,0
1527,0,4,0,3,0
1529,0,4,0,3,0
1531,0,4,0,3,0
1533,0,4,0,3,0
1535,0,4,0,3,0
1537,0,4,0,3,0
1539,0,4,0,3,0
1541,0,4,0,3,0
1543,0,4,0,3,0
1545,0,4,0,3,0
1547,0,4,0,3,0
1549,0,4,0,3,0
1551,0,4,0,3,0
1553,0,4,0,3,0
1555,0,4,0,3,0
1557,0,4,0,3,0
1559,0,4,0,3,0
1561,0,4,0,3,0
1563,0,4,0,3,0
1565,0,4,0,3,0
1567,0,4,0,3,0
1569,0,4,0,3,0
1571,0,4,0,3,0
1573,0,4,0,3,0
1575,0,4,0,3,0
1577,0,4,0,3,0
1579,0,4,0,3,0
1581,0,4,0,3,0
1583,0,4,0,3,0
1585,0,4,0,3,0
1587,0,4,0,3,0
1589,0,4,0,3,0
1591,0,4,0,3,0
1593,0,4,0,3,0
1595,0,4,0,3,0
1597,0,4,0,3,0
1599,0,4,0,3,0
1601,0,4,0,3,0
1603,0,4,0,3,0
1605,0,4,0,3,0
1607,0,4,0,3,0
1609,0,4,0,3,0
1611,0,4,0,3,0
1613,0,4,0,3,0
1615,0,4,0,3,0
1617,0,4,0,3,0
1619,0,4,0,3,0
1621,0,4,0,3,0
1623,0,4,0,3,0
1625,0,4,0,3,0
1627,0,4,0,3,0
1629,0,4,0,2,0
1631,0,4,0,3,0
1633,0,4,0,3,0
1635,0,4,0,3,0
1637,0,4,0,2,0
1639,0,4,0,2,0
1641,0,4,0,2,0
1643,0,4,0,2,0
1645,0,4,0,2,0
1647,0,4,0,2,0
1649,0,4,0,2,0
1651,0,4,0,2,0
1653,0,3,0,2,0
1655,0,3,0,2,0
1657,0,3,0,2,0
1659,0,3,0,2,0
1661,0,3,0,2,0
1663,0,3,0,2,0
1665,0,3,0,2,0
1667,0,3,0,2,0
1669,0,3,0,2,0
1671,0,3,0,2,0
1673,0,4,0,2,0
1675,0,4,0,2,0
1677,0,4,0,2,0
1679,0,4,0,2,0
1681,0,4,0,2,0
1683,0,3,0,2,0
1685,0,3,0,2,0
1687,0,3,0,2,0
1689,0,3,0,2,0
1691,0,4,0,2,0
1693,0,4,0,2,0
1695,0,4,0,2,0
1697,0,4,0,2,0
1699,0,4,0,2,0
1701,0,4,0,2,0
1703,0,4,0,2,0
1705,0,4,0,2,0
1707,0,4,0,2,0
1709,0,4,0,2,0
1711,0,3,0,2,0
1713,0,3,0,2,0
1715,0,4,0,2,0
1717,0,4,0,2,0
1719,0,4,0,3,0
1721,0,4,0,3,0
1723,0,4,0,3,0
1725,0,4,0,3,0
1727,0,4,0,3,0
1729,0,4,0,3,0
1731,0,4,0,3,0
1733,0,4,0,3,0
1735,0,4,0,3,0
1737,0,4,0,3,0
1739,0,4,0,3,0
1741,0,4,0,3,0
1743,0,3,0,3,0
1745,0,4,0,2,0
1747,0,4,0,2,0
1749,0,3,0,2,0
1751,0,4,0,3,0
1753,0,4,0,3,0
1755,0,4,0,3,0
1757,0,4,0,3,0
1759,0,4,0,3,0
1761,0,4,0,3,0
1763,0,4,0,3,0
1765,0,4,0,3,0
1767,0,4,0,3,0
1769,0,4,0,3,0
1771,0,3,0,3,0
1773,0,3,0,2,0
1775,0,3,0,2,0
1777,0,3,0,2,0
1779,0,4,0,2,0
1781,0,3,0,2,0
1783,0,3,0,2,0
1785,0,4,0,2,0
1787,0,4,0,2,0
1789,0,4,0,2,0
1791,0,4,0,2,0
1793,0,3,0,2,0
1795,0,3,0,2,0
1797,0,4,0,2,0
1799,1,3,0,3,0
1801,1,3,0,2,0
1803,1,3,0,2,0
1805,1,3,0,3,0
1807,1,3,0,3,0
1809,1,4,0,3,0
1811,1,4,0,3,0
1813,1,4,0,3,0
1815,1,3,0,3,0
1817,1,4,0,3,0
1819,1,4,0,3,0
1821,1,4,0,3,0
1823,1,4,0,3,0
1825,1,4,0,3,0
1827,1,4,0,3,0
1829,1,4,0,3,0
1831,1,4,0,3,0
1833,1,3,0,3,0
1835,1,3,0,3,0
1837,1,3,0,3,0
1839,1,3,0,3,0
1841,1,3,0,3,0
1843,1,3,0,3,0
1845,1,3,0,3,0
1847,1,3,0,3,0
1849,1,3,0,3,0
1851,1,3,0,3,0
1853,1,3,0,3,0
1855,1,3,0,3,0
1857,1,4,0,3,0
1859,1,4,0,3,0
1861,1,4,0,3,0
1863,1,3,0,3,0
1865,1,3,0,3,0
1867,1,3,0,2,0
1869,1,3,0,2,0
1871,1,3,0,2,0
1873,1,3,0,2,0
1875,1,3,0,2,0
1877,1,3,0,2,0
1879,1,3,0,2,0
1881,1,3,0,2,0
1883,1,3,0,2,0
1885,1,3,0,2,0
1887,1,3,0,2,0
1889,1,3,0,2,0
1891,1,3,0,2,0
1893,1,3,0,2,0
1895,1,3,0,2,0
1897,1,3,0,2,0
1899,1,3,0,2,0
1901,1,3,0,2,0
1903,1,3,0,2,0
1905,1,3,0,2,0
1907,1,3,0,2,0
1909,1,3,0,2,0
1911,1,3,0,2,0
1913,1,3,0,2,0
1915,1,4,0,2,0
1917,1,4,0,2,0
1919,1,3,0,2,0
1921,1,3,0,2,0
1923,1,3,0,2,0
1925,1,3,0,2,0
1927,1,3,0,2,0
1929,1,3,0,2,0
1931,1,3,0,2,0
1933,1,3,0,2,0
1935,1,3,0,2,0
1937,1,3,0,2,0
1939,1,3,0,2,0
1941,1,3,0,3,0
1943,1,3,0,3,0
1945,1,3,0,3,0
1947,1,3,0,3,0
1949,1,3,0,3,0
1951,1,3,0,3,0
1953,1,3,0,2,0
1955,1,3,0,2,0
1957,1,3,0,2,0
1959,1,3,0,2,0
1961,1,3,0,2,0
1963,1,3,0,2,0
1965,1,3,0,2,0
1967,1,3,0,2,0
1969,1,3,0,2,0
1971,1,3,0,2,0
1973,1,3,0,2,0
1975,1,3,0,2,0
1977,1,3,0,3,0
1979,1,3,0,3,0
1981,1,3,0,3,0
1983,1,3,0,3,0
1985,1,3,0,3,0
1987,1,3,0,3,0
1989,1,3,0,3,0
1991,1,3,0,3,0
1993,1,3,0,3,0
1995,1,3,0,3,0
1997,1,3,0,3,0
1999,0,3,0,3,0
2001,0,3,0,3,0
2003,0,3,0,3,0
2005,0,3,0,2,0
2007,0,3,0,2,0
2009,0,3,0,2,0
2011,0,3,0,2,0
2013,0,3,0,2,0
2015,0,3,0,2,0
2017,0,3,0,2,0
2019,0,3,0,2,0
2021,0,3,0,2,0
2023,0,3,0,2,0
2025,0,3,0,2,0
2027,0,3,0,2,0
2029,0,3,0,2,0
2031,0,3,0,3,0
2033,0,3,0,3,0
2035,0,3,0,3,0
2037,0,3,0,3,0
2039,0,3,0,3,0
2041,0,4,0,3,0
2043,0,4,0,3,0
2045,0,4,0,3,0
2047,0,4,0,3,0
2049,0,3,0,3,0
2051,0,3,0,3,0
2053,0,3,0,3,0
2055,0,3,0,3,0
2057,0,4,0,3,0
2059,0,4,0,3,0
2061,0,4,0,3,0
2063,0,4,0,3,0
2065,0,4,0,3,0
2067,0,4,0,3,0
2069,0,4,0,3,0
2071,0,4,0,3,0
2073,0,4,0,3,0
2075,0,4,0,3,0
2077,0,4,0,3,0
2079,0,4,0,3,0
2081,0,4,0,3,0
2083,0,4,0,3,0
2085,0,4,0,3,0
2087,0,4,0,3,0
2089,0,4,0,3,0
2091,0,4,0,3,0
2093,0,4,0,3,0
2095,0,4,0,3,0
2097,0,4,0,3,0
2099,0,4,0,3,0
2101,0,4,0,3,0
2103,0,4,0,3,0
2105,0,4,0,3,0
2107,0,4,0,3,0
2109,0,4,0,3,0
2111,0,4,0,3,0
2113,0,4,0,3,0
2115,0,4,0,3,0
2117,0,4,0,3,0
2119,0,4,0,3,0
2121,0,4,0,3,0
2123,0,4,0,3,0
2125,0,4,0,3,0
2127,0,4,0,3,0
2129,0,4,0,3,0
2131,0,4,0,3,0
2133,0,4,0,3,0
2135,0,4,0,3,0
2137,0,4,0,3,0
2139,0,4,0,3,0
2141,0,4,0,3,0
2143,0,4,0,3,0
2145,0,4,0,3,0
2147,0,4,0,3,0
2149,0,4,0,3,0
2151,0,4,0,3,0
2153,0,4,0,3,0
2155,0,4,0,3,0
2157,0,4,0,3,0
2159,0,4,0,3,0
2161,0,4,0,3,0
2163,0,4,0,3,0
2165,0,4,0,3,0
2167,0,4,0,3,0
2169,0,4,0,3,0
2171,0,4,0,3,0
2173,0,4,0,3,0
2175,0,4,0,3,0
2177,0,4,0,3,0
2179,0,4,0,3,0
2181,0,4,0,3,0
2183,0,4,0,3,0
2185,0,4,0,3,0
2187,0,4,0,3,0
2189,0,4,0,3,0
2191,0,4,0,3,0
2193,0,4,0,3,0
2195,0,4,0,3,0
2197,0,4,0,3,0
2199,0,4,0,3,0
2201,0,4,0,3,0
2203,0,4,0,3,0
2205,0,4,0,3,0
