GenBankAccession,Country,Host,CollectionDate,Annotated serotype,Strain,Isolate,IsolationSource,Genotyped serotype,Topotype
JF749860,Unknown,Unknown,Unknown,Unknown,Unknown,KEN_004/2002,Unknown,SAT1,Unknown
JF749852,Unknown,Unknown,Unknown,Unknown,Unknown,MAY_002/2004,Unknown,O,Unknown
JF749851,Unknown,Unknown,Unknown,Unknown,Unknown,IRN_073/2001,Unknown,O,Unknown
JF749849,Unknown,Unknown,Unknown,Unknown,Unknown,PAK_030/2002,Unknown,Asia1,Unknown
JF749848,Unknown,Unknown,Unknown,Unknown,Unknown,TUR_004/2003,Unknown,A,Unknown
JF749843,Unknown,Unknown,Unknown,Unknown,Unknown,Egypt/2006,Unknown,A,Unknown
JF749841,Unknown,Unknown,Unknown,Unknown,Unknown,Turkey/2006,Unknown,A,Unknown
GU384683,PAK,buffalo,2008,O,Unknown,PAK/45/2008,Unknown,O,Unknown
GU384682,PAK,cattle,2008,O,Unknown,PAK/44/2008,Unknown,O,Unknown
KC440884,EGY,Unknown,2012,SAT 2,Unknown,EGY 3/2012,Unknown,SAT2,Unknown
KC440883,EGY,Unknown,2011,O,Unknown,EGY 10/2011,Unknown,O,Unknown
KC440882,EGY,Unknown,2012,A,Unknown,EGY 1/2012,Unknown,A,Unknown
KC440881,EGY,Unknown,2011,A,Unknown,EGY 9/2011,Unknown,A,Unknown
HM229661,HKG,pig,2010,O,Unknown,HKN/20/2010,Unknown,O,Unknown
JQ973889,CHN,cow,2010,type O,O/CHN/Mya98/33-P,Unknown,Unknown,O,Unknown
JQ900581,CHN,pig,Unknown,Unknown,O/GSLX/2010,Unknown,Unknown,O,Unknown
FJ175666,ISR,cattle,2007,O,Unknown,Israel 07-6387,tongue epithelium,O,Unknown
FJ175665,ISR,cattle,2007,O,Unknown,Israel 07-6391,tongue epithelium,O,Unknown
FJ175664,ISR,cattle,2007,O,Unknown,Israel 07-6389,tongue epithelium,O,Unknown
FJ175663,ISR,cattle,2007,O,Unknown,Israel 07-6382,calf tongue epithelium,O,Unknown
FJ175662,ISR,cattle,2007,O,Unknown,Israel 07-6380,calf probang,O,Unknown
FJ175661,ISR,goat,2007,O,Unknown,Israel 07-6378,kid cardiac tissue,O,Unknown
FJ461346,UGA,buffalo,2002,Unknown,Unknown,Murchison Falls National Park,Unknown,SAT2,Unknown
FJ461345,UGA,Unknown,2002,Unknown,Unknown,Kapchorwa District,Unknown,O,Unknown
FJ461344,UGA,cow,2002,Unknown,Unknown,Kumi District,Unknown,O,Unknown
EF117837,PAK,cattle,2006,A,Unknown,"Lindholm 1.3,PAK3/2006",Unknown,A,Unknown
PP273559,IND,elephant,1988,A,Unknown,A/IND61/1988,Unknown,A,Unknown
OQ356346,KEN,cow,2006,A,Unknown,FBR03588,Cell supernatant,A,Unknown
OQ427394,ARG,cow,1993,O,Unknown,FBR02520,Cell supernatant,O,Unknown
OQ356340,BRA,cow,2001,A,Unknown,FBR02756DI,Cell supernatant,A,Unknown
OQ356349,KEN,cow,2010,A,Unknown,FBR04313,Cell supernatant,A,Unknown
OQ356348,IRQ,cow,2017,A,Unknown,FBR04302,Cell supernatant,A,Unknown
OQ356347,EGY,cow,2008,A,Unknown,FBR04274,Tongue Epi Tissue,A,Unknown
OQ356345,ARG,cow,2006,A,Unknown,FBR03587,Cell supernatant,A,Unknown
OQ356344,URY,cow,2006,A,Unknown,FBR03563,Cell supernatant,A,Unknown
OQ356343,ARG,cow,2003,A,Unknown,FBR03143,Cell supernatant,A,Unknown
OQ356342,ARG,cow,2001,A,Unknown,FBR02770,Cell supernatant,A,Unknown
OQ356341,BRA,cow,1970,A,Unknown,FBR01218,GPVF,A,Unknown
OQ256242,ISR,cow,1969,A,Unknown,FBR00044,Tongue Epi Tissue,A,Unknown
OQ238686,DEU,cow,1971,A,Unknown,FBR00015,GPVF Passage 6,A,Unknown
OQ238685,ARG,cow,1990,A,Unknown,FBR00926,Cell culture supernatant,A,Unknown
OQ211408,Unknown,gazelle,2007,O,Unknown,KVI_550119,"wild gazelle epithelium tissue; Zur Natan, Drom Hasaron, Israel, 2007",O,Unknown
OQ211407,Unknown,sheep,2007,O,Unknown,KVI_545682,"sheep heart tissue; Bethlehem, Palestinian Authority, 2007",O,Unknown
OQ211406,Unknown,sheep,2007,O,Unknown,KVI_548463*163,"sheep heart tissue; Zababdeh, Jenin district, Palestinian Authority, 2007",O,Unknown
OQ211405,Unknown,cattle,2007,O,Unknown,KVI_550746,"cattle probang tissue; Tamra, North District, Israel, 2007",O,Unknown
OQ211404,Unknown,cattle,2007,O,Unknown,KVI_546402*129,"cattle saliva; Seida, Tulkarm Governorate, Palestinian Authority",O,Unknown
OQ211403,Unknown,cattle,2007,O,Unknown,KVI_541556,"cattle epithelium tissue; Rumat al- Heib, al-Batuf Regional Concil, Israel, 2007",O,Unknown
OQ211402,Unknown,cattle,2007,O,Unknown,KVI_(468)547412,"cattle probang tissue; Ramat Magshimim, Southern Golan Heights, Israel, 2007",O,Unknown
OQ211401,Unknown,cattle,2007,O,Unknown,KVI_(482)547412,"cattle probang tissue; Ramat Magshimim, Southern Golan Heights, Israel, 2007",O,Unknown
OQ211400,Unknown,cattle,2007,O,Unknown,KVI_547412,"cattle hoof tissue; Ramat Magshimim, Southern Golan Heights, Israel, 2007",O,Unknown
OQ211399,Unknown,gazelle,2007,O,Unknown,KVI_546423*3,"wild gazelle head tissue; Ramat Yissahar, Lower Galilee, Israel, 2007",O,Unknown
OQ211398,Unknown,gazelle,2007,O,Unknown,KVI_546423 *2,"wild gazelle head tissue; Ramat Yissahar, Lower Galilee, Israel, 2007",O,Unknown
OQ211397,Unknown,sheep,2007,O,Unknown,KVI_547801,"sheep heart tissue; Rahat, Southern District, Israel, 2007",O,Unknown
OQ211396,Unknown,cattle,2007,O,Unknown,KVI_547793,"cattle probang; Qabul, Local Council, Northern District, Israel, 2007",O,Unknown
OQ211395,Unknown,sheep,2007,O,Unknown,KVI_548462*162,"sheep heart tissue; Qabatiya, Jenin Governorate, Palestinian Authority, 2007",O,Unknown
OQ211394,Unknown,cattle,2007,O,Unknown,KVI_544011,"cattle probang tissue; Nov, Golan Regional Council, Israel, 2007",O,Unknown
OQ211393,Unknown,goat,2007,O,Unknown,KVI_546826,"goat heart tissue; Nov, Golan Regional Council, Israel, 2007",O,Unknown
OQ211392,Unknown,cattle,2007,O,Unknown,KVI_540421,"cattle probang tissue; Neve Ur, Emek HaMa'ayanot Regional Council, Israel, 2007",O,Unknown
OQ211391,Unknown,cattle,2007,O,Unknown,KVI_(246)543181,"cattle probang tissue; Neve Ur, Emek HaMa'ayanot Regional Council, Israel, 2007",O,Unknown
OQ211390,Unknown,cattle,2007,O,Unknown,KVI_(230)543181,"cattle probang tissue; Neve Ur, Emek HaMa'ayanot Regional Council, Israel, 2007",O,Unknown
OQ211389,Unknown,goat,2006,O,Unknown,KVI_537323,"goat corpse; Netu'a, Ma'ale Yosef Regional Council, Israel, 2007",O,Unknown
OQ211388,Unknown,sheep,2007,O,Unknown,KVI_541557,"Sheep foot tissue; Nablus, West Bank, Palestinian Authority",O,Unknown
OQ211387,Unknown,cattle,2007,O,Unknown,KVI_548593,"Cattle Epithelium tissue; Giv'ati, Be'er Tuvia Regional Council, Israel",O,Unknown
OQ211386,Unknown,cattle,2007,O,Unknown,KVI_540430,"cattle epithelium tissue; Moledet, Gilboa Regional Council, Israel, 2007",O,Unknown
OQ211385,Unknown,cattle,2007,O,Unknown,KVI_537746,"cattle probang tissue; Mevo Hama, Golan Regional Council, Israel, 2007",O,Unknown
OQ211384,Unknown,cattle,2007,O,Unknown,KVI_547798,"Lakiya, Local Council, Southern District, Israel, 2007; calf heart tissue",O,Unknown
OQ211383,Unknown,gazelle,2007,O,Unknown,KVI_546825*6,"wild gazelle head tissue; Kochav Hayarden, Lower Galilee, Israel, 2007",O,Unknown
OQ211382,Unknown,gazelle,2007,O,Unknown,KVI_546423*5,"wild gazelle head tissue; Kochav Hayarden, Lower Galilee, Israel, 2007",O,Unknown
OQ211381,Unknown,gazelle,2007,O,Unknown,KVI_546825*7,"wild gazelle head tissue; Kochav Hayarden, Lower Galilee, Israel, 2007",O,Unknown
OQ211380,Unknown,cattle,2007,O,Unknown,KVI_555455,"cattle probang tissue; Yifat, Jezreell, Valley Regional Concil, Israel, 2007",O,Unknown
OQ211379,Unknown,cattle,2007,O,Unknown,KVI_543311,"cattle probang tissue; Natur, Southern Golan Heights, Israel, 2007",O,Unknown
OQ211378,Unknown,cattle,2007,O,Unknown,KVI_550962,"cattle probang tissue; Kanaf, Golan Region Concil, Israel, 2007",O,Unknown
OQ211377,Unknown,cattle,2007,O,Unknown,KVI_548856,"cattle epithelium tissue; Kafr Qasem, Israel, 2007",O,Unknown
OQ211376,Unknown,cattle,2007,O,Unknown,KVI_549767,"cattle epithelium tissue; Kafr Qara, Local Council, Israel",O,Unknown
OQ211375,Unknown,sheep,2007,O,Unknown,KVI_547615*149,"sheep heart tissue; Jifna, Ramalla and al-Bireh Governorate, Palestinian Authority, 2007",O,Unknown
OQ211374,Unknown,cattle,2007,O,Unknown,KVI_540975,"cattle epithelium tissue; Ilut, Local Council, Northen District, Israel",O,Unknown
OQ211373,Unknown,goat,2007,O,Unknown,KVI_547681#2,"goat epithelium tissue; Hura, Southern District, Israel, 2007",O,Unknown
OQ211372,Unknown,goat,2007,O,Unknown,KVI_547681#1,"goat epithelium tissue; Hura, Southern District, Israel, 2007",O,Unknown
OQ211371,Unknown,goat,2007,O,Unknown,KVI_550736*205,"goat heart tissue; Hebron, Palestinian Authority, 2007",O,Unknown
OQ211370,Unknown,cattle,2007,O,Unknown,KVI_541840*2,"cattle epithelium; Gazit, Jezreel Regional Concil",O,Unknown
OQ211369,Unknown,cattle,2007,O,Unknown,KVI_540379,"cattle probang tissue; Fassouta, local concil, Northen District, Israel, 2007",O,Unknown
OQ211368,Unknown,sheep,2007,O,Unknown,KVI_544707*86,"sheep heart tissue; Al-Eizariya, West Bank, Palestinian Authority, 2007",O,Unknown
OQ211367,Unknown,sheep,2007,O,Unknown,KVI_546398*138,"sheep heart tissue; Dura, Hebron Governorate, Palestinian Authority, 2007",O,Unknown
OQ211366,Unknown,sheep,2007,O,Unknown,KVI_542481,"sheep swab; Ad-Dhahiriya, Hebron Governorate, Palestinian Authority, 2007",O,Unknown
OQ211365,Unknown,sheep,2007,O,Unknown,KVI_542681_palest2,"small ruminant mouth tissue; Deir Sammit, Hebron Governorate, Palestinian Authority, 2007",O,Unknown
OQ211364,Unknown,sheep,2007,O,Unknown,KVI_543974*77,"sheep heart tissue; Deir Dibwan, Ramallah and al-Bireh Governorate, Palestinian Authority, 2007",O,Unknown
OQ211363,Unknown,sheep,2007,O,Unknown,KVI_545681,"sheep heart tissue; Birzeit, located north of Ramallah, Palestinian Authority, 2007",O,Unknown
OQ211362,Unknown,sheep,2007,O,Unknown,KVI_545686,"sheep heart tissue; Bir Nabala, West Bank, Palestinian Authority, 2007",O,Unknown
OQ211361,Unknown,sheep,2007,O,Unknown,KVI_551141,"sheep heart tissue; Bir al-Maksur, Local concil, Northen District, Israel, 2007",O,Unknown
OQ211360,Unknown,cattle,2007,O,Unknown,KVI_548360,"cattle probang tissue; Beit She'arim, Jezreel Valiey Regional Concil, Israel, 2007",O,Unknown
OQ211359,Unknown,cattle,2007,O,Unknown,KVI_(745)548850,"cattle probang tissue; Beit She'arim, Jezreel Valiey Regional Concil, Israel, 2007",O,Unknown
OQ211358,Unknown,cattle,2007,O,Unknown,KVI_(193)548046,"cattle probang tissue; Beit She'arim, Jezreel Valiey Regional Concil, Israel, 2007",O,Unknown
OQ211357,Unknown,cattle,2007,O,Unknown,KVI_548645,"cattle probang tissue; Beit She'arim, Jezreel Valiey Regional Concil, Israel, 2007",O,Unknown
OQ211356,Unknown,cattle,2007,O,Unknown,KVI_(8)548046,"cattle probang tissue; Beit She'arim, Jezreel Valiey Regional Concil, Israel, 2007",O,Unknown
OQ211355,Unknown,cattle,2007,O,Unknown,KVI_539838,"calf probang tissue; Beit Hashita, Gilboa Regional Concil, Israel, 2007",O,Unknown
OQ211354,Unknown,cattle,2007,O,Unknown,KVI_542477_1a,"catlle tongue tissue; Beit 'Amra, Hebron Governorate, Palestinian Authority, 2007",O,Unknown
OQ211353,Unknown,sheep,2007,O,Unknown,KVI_548013,"small ruminant heart tissue; Basmat Tab'un, Northen District, Israel, 2007",O,Unknown
OQ211352,Unknown,cattle,2007,O,Unknown,KVI_545072,"cattle epithelium tissue; I'bilin, Northen district, Israel, 2007",O,Unknown
OQ211351,Unknown,goat,2007,O,Unknown,KVI_543442,"goat heart tissue; Arab al-Aramshe, Western Galilee, Israel, 2007",O,Unknown
OQ211350,Unknown,cattle,2007,O,Unknown,KVI_542757,"cattle probang tissue; Arab al-Aramshe, Western Galilee, Israel, 2007",O,Unknown
OQ211349,Unknown,sheep,2007,O,Unknown,KVI_548461*161,"sheep heart tissue; Ajjah, Jenin Governorate, Palestinian Authority, 2007",O,Unknown
OQ557397,ETH,cow,2022,SAT2,Unknown,ETH/2/2022,Unknown,SAT2,Unknown
OQ557396,ETH,cattle,1991,SAT2,Unknown,ETH/2/91,Unknown,SAT2,Unknown
OQ457195,NER,cattle,2020,Unknown,Unknown,NIG-PL-178-PLBK-033GF-2020,epithelial tissue,O,Unknown
OQ457194,NER,cattle,2020,Unknown,Unknown,NIG-PL-175-PLBK-030GF-2020,epithelial tissue,O,Unknown
OQ457193,NER,cattle,2020,Unknown,Unknown,NIG-PL-174-PLJN-029GF-2020,epithelial tissue,O,Unknown
OQ457192,NER,cattle,2020,Unknown,Unknown,NIG-PL-173-PLJN-028GF-2020,epithelial tissue,O,Unknown
OQ457191,NER,cattle,2020,Unknown,Unknown,NIG-PL-172-PLJN-027GF-2020,epithelial tissue,O,Unknown
OQ457190,NER,cattle,2020,Unknown,Unknown,NIG-PL-170-PLJN-025GF-2020,epithelial tissue,O,Unknown
OQ457189,NER,cattle,2020,Unknown,Unknown,NIG-PL-169-PLJN-024GF-2020,epithelial tissue,O,Unknown
OQ457188,NER,cattle,2020,Unknown,Unknown,NIG-PL-168-PLJN-023GF-2020,epithelial tissue,O,Unknown
OQ457186,NER,cattle,2020,Unknown,Unknown,NIG-PL-165-PLJN-0120GF-2020,epithelial tissue,O,Unknown
OQ457185,NER,cattle,2020,Unknown,Unknown,NIG-PL-164-PLJE-019GF-2020,epithelial tissue,O,Unknown
OQ457184,NER,cattle,2020,Unknown,Unknown,NIG-PL-162-PLJE-017GF-2020,epithelial tissue,O,Unknown
OQ745961,THA,cattle,2016,A,Unknown,A/TAI/NP05/2016,Unknown,A,Unknown
OQ401874,NER,cattle,2020,SAT2,Unknown,NIG-PL-157-PLBL-012GF-2020,epithelial tissue,SAT2,Unknown
OQ401873,NER,cattle,2020,SAT2,Unknown,NIG-PL-156-PLBL-011GF-2020,epithelial tissue,SAT2,Unknown
OQ401872,NER,cattle,2020,SAT2,Unknown,NIG-PL-155-PLBL-010GF-2020,epithelial tissue,SAT2,Unknown
OQ401871,NER,cattle,2020,SAT2,Unknown,NIG-PL-154-PLBL-009GF-2020,epithelial tissue,SAT2,Unknown
OQ401870,NER,cattle,2020,SAT2,Unknown,NIG-PL-153-PLBL-008GF-2020,epithelial tissue,SAT2,Unknown
OQ401869,NER,cattle,2020,SAT2,Unknown,NIG-PL-152-PLBL-007GF-2020,epithelial tissue,SAT2,Unknown
OQ401868,NER,cattle,2020,SAT2,Unknown,NIG-PL-151-PLBL-006GF-2020,epithelial tissue,SAT2,Unknown
OQ401867,NER,cattle,2020,SAT2,Unknown,NIG-PL-149-PLBL-004GF-2020,epithelial tissue,SAT2,Unknown
OQ401866,NER,cattle,2020,SAT2,Unknown,NIG-PL-148-PLBL-003GF-2020,epithelial tissue,SAT2,Unknown
OQ401865,NER,cattle,2020,SAT2,Unknown,NIG-PL-147-PLBL-002GF-2020,epithelial tissue,SAT2,Unknown
LC771233,IRQ,water-buffalo,2023,A,Unknown,BASRAHB1,tongue epithelium of Bubalus bubalis,A,Unknown
LC770123,IRQ,cattle,2023,SAT1,Unknown,BASRAH1C,tongue epithelium,SAT1,Unknown
OP957418,BGD,cattle,2021,O,Unknown,BAN/MY/My-466/2021,tongue epithelium,O,Unknown
ON868623,VNM,pig,2017,O,Unknown,O/VIT/17-19073/2017,epithelial tissue,O,Unknown
ON868622,VNM,pig,2017,O,Unknown,O/VIT/17-17547/2017,epithelial tissue,O,Unknown
ON868621,VNM,cow,2017,A,Unknown,A/VIT/DT-P057-3/2017_pro,oropharyngeal fluid (probang sample),A,Unknown
ON868620,VNM,pig,2019,O,Unknown,O/VIT/19F-70/2019,epithelial tissue,O,Unknown
ON868619,VNM,pig,2019,O,Unknown,O/VIT/19F-48/2019,epithelial tissue,O,Unknown
ON868618,VNM,pig,2019,O,Unknown,O/VIT/19-6734/2019,epithelial tissue,O,Unknown
ON868617,VNM,pig,2019,O,Unknown,O/VIT/19F-50/2019,epithelial tissue,O,Unknown
ON868616,VNM,pig,2018,O,Unknown,O/VIT/18-993.4/2018,epithelial tissue,O,Unknown
ON868615,VNM,pig,2018,O,Unknown,O/VIT/18F287/2018,epithelial tissue,O,Unknown
ON868614,VNM,pig,2019,O,Unknown,O/VIT/19-5849/2019,epithelial tissue,O,Unknown
ON868613,VNM,pig,2019,O,Unknown,O/VIT/19F20/2019,epithelial tissue,O,Unknown
ON868612,VNM,pig,2019,O,Unknown,O/VIT/19F-63/2019,epithelial tissue,O,Unknown
ON868611,VNM,pig,2018,O,Unknown,O/VIT/18F261/2018,epithelial tissue,O,Unknown
ON868610,VNM,pig,2019,O,Unknown,O/VIT/19F-69/2019,epithelial tissue,O,Unknown
ON868609,VNM,pig,2019,O,Unknown,O/VIT/19F-66/2019,epithelial tissue,O,Unknown
ON868608,VNM,pig,2019,O,Unknown,O/VIT/19F38/2019,epithelial tissue,O,Unknown
ON868607,VNM,pig,2019,O,Unknown,O/VIT/19F30/2019,epithelial tissue,O,Unknown
ON868606,VNM,pig,2019,O,Unknown,O/VIT/19F33/2019,epithelial tissue,O,Unknown
ON868605,VNM,pig,2019,O,Unknown,O/VIT/19F-57/2019,epithelial tissue,O,Unknown
ON868604,VNM,pig,2018,O,Unknown,O/VIT/18-1001.1/2018,epithelial tissue,O,Unknown
ON868603,VNM,pig,2018,O,Unknown,O/VIT/18F238/2018,epithelial tissue,O,Unknown
ON868602,VNM,pig,2019,O,Unknown,O/VIT/19F23/2019,epithelial tissue,O,Unknown
ON868601,VNM,pig,2018,O,Unknown,O/VIT/18F289/2018,epithelial tissue,O,Unknown
ON868600,VNM,pig,2018,O,Unknown,O/VIT/18F292/2018,epithelial tissue,O,Unknown
ON868599,VNM,pig,2019,O,Unknown,O/VIT/19F36/2019,epithelial tissue,O,Unknown
ON868598,VNM,pig,2018,O,Unknown,O/VIT/18-27409/2018,epithelial tissue,O,Unknown
ON868597,VNM,pig,2019,O,Unknown,O/VIT/19-6521/2019,epithelial tissue,O,Unknown
ON868596,VNM,pig,2018,O,Unknown,O/VIT/18CD-1933.1/2018,epithelial tissue,O,Unknown
ON868595,VNM,pig,2018,O,Unknown,O/VIT/18F271/2018,epithelial tissue,O,Unknown
ON868594,VNM,pig,2019,O,Unknown,O/VIT/19F43/2019,epithelial tissue,O,Unknown
ON868593,VNM,pig,2018,O,Unknown,O/VIT/18-27160/2018,epithelial tissue,O,Unknown
ON868592,VNM,pig,2018,O,Unknown,O/VIT/18-962.1/2018,epithelial tissue,O,Unknown
ON868591,VNM,pig,2019,O,Unknown,O/VIT/19-4183/2019,epithelial tissue,O,Unknown
ON868590,VNM,pig,2019,O,Unknown,O/VIT/19-1446/2019,epithelial tissue,O,Unknown
ON868589,VNM,pig,2019,O,Unknown,O/VIT/19-1443/2019,epithelial tissue,O,Unknown
ON868588,VNM,water-buffalo,2018,O,Unknown,O/VIT/LA-P30-11/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868587,VNM,cow,2017,O,Unknown,O/VIT/DT-P037-3/2017_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868586,VNM,cow,2017,O,Unknown,O/VIT/DT-P115-2/2017_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868585,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-141-2/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868584,VNM,cow,2017,O,Unknown,O/VIT/DT-P052-3/2017_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868583,VNM,Unknown,2018,O,Unknown,O/VIT/NT-P-51-3/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868582,VNM,cow,2018,O,Unknown,O/VIT/LA-P06-10/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868581,VNM,cow,2018,O,Unknown,O/VIT/LA-P09-10/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868580,VNM,cow,2017,O,Unknown,O/VIT/DL-P44-1/2017_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868579,VNM,cow,2017,O,Unknown,O/VIT/17-15223/2017,epithelial tissue,O,Unknown
ON868578,VNM,cow,2019,O,Unknown,O/VIT/DT-P31-4/2019_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868577,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-143-2/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868576,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P-91-3/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868575,VNM,Unknown,2018,O,Unknown,O/VIT/DT-P150-1/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
ON868574,VNM,cow,2018,O,Unknown,O/VIT/BK-P159-3/2018_pro,oropharyngeal fluid (probang sample),O,Unknown
