Genbank accession;Year;Country;Host;Isolate;Strain;Serotype;Topotype;Lineage;
ON652971;2015;VNM;cow;A/VIT/206/2015;Sea-97;A;ASIA;Sea-97;
ON652970;2015;VNM;cow;A/VIT/203/2015;Sea-97;A;ASIA;Sea-97;
ON652969;2015;VNM;cow;A/VIT/201/2015;Sea-97;A;ASIA;Sea-97;
ON652968;2015;VNM;cow;A/VIT/165/2015;Sea-97;A;ASIA;Sea-97;
ON652967;2013;VNM;cow;A/VIT/14661/2013;Sea-97;A;ASIA;Sea-97;
ON652966;2015;VNM;cow;A/VIT/141/2015;Sea-97;A;ASIA;Sea-97;
ON652965;2015;VNM;cow;A/VIT/109/2015;Sea-97;A;ASIA;Sea-97;
MN366244;2018;BGD;cattle;BAN/DH/Sa-318/2018;;Asia1;ASIA;;
JF749864;2003;;;ZIM_22/2003;;SAT2;I;;
JF749862;2002;;;UGA_002/2002;;SAT2;X;;
JF749861;2002;KEN;;KEN_002/2002;;SAT2;IV;;
JF749860;2002;KEN;;KEN_004/2002;;SAT1;I-NORTHWEST-ZIMBABWE-NWZ;;
JF749852;2004;;;MAY_002/2004;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
JF749851;2001;IRN;;IRN_073/2001;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia;
JF749849;2002;PAK;;PAK_030/2002;;Asia1;ASIA;;
JF749848;2003;TUR;;TUR_004/2003;;A;ASIA;;
JF749843;2006;EGY;;Egypt/2006;;A;AFRICA;;
JF749841;2006;TUR;;Turkey/2006;;A;ASIA;Iran-05;
GU384683;2008;PAK;buffalo;PAK/45/2008;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
GU384682;2008;PAK;cattle;PAK/44/2008;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
KC440884;2012;EGY;;EGY 3/2012;;SAT2;VII;;
KC440883;2011;EGY;;EGY 10/2011;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
KC440882;2012;EGY;;EGY 1/2012;;A;ASIA;Iran-05;
KC440881;2011;EGY;;EGY 9/2011;;A;AFRICA;;
HM229661;2010;HKG;pig;HKN/20/2010;;O;SOUTHEAST-ASIA-SEA;;
JQ973889;2010;CHN;cow;;O/CHN/Mya98/33-P;O;SOUTHEAST-ASIA-SEA;;
JQ900581;2010;CHN;pig;;O/GSLX/2010;O;SOUTHEAST-ASIA-SEA;;
FJ175666;2007;ISR;cattle;Israel 07-6387;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
FJ175665;2007;ISR;cattle;Israel 07-6391;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
FJ175664;2007;ISR;cattle;Israel 07-6389;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
FJ175663;2007;ISR;cattle;Israel 07-6382;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
FJ175662;2007;ISR;cattle;Israel 07-6380;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
FJ175661;2007;ISR;goat;Israel 07-6378;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
FJ461345;2002;UGA;;Kapchorwa District;;O;EAST-AFRICA-2-EA-2;;
FJ461344;2002;UGA;cow;Kumi District;;O;EAST-AFRICA-2-EA-2;;
EF117837;2006;PAK;cattle;Lindholm 1.3,PAK3/2006;;A;ASIA;Iran-05;
PP273559;1988;IND;elephant;A/IND61/1988;;A;ASIA;;
OQ356346;2006;KEN;cow;FBR03588;;A;AFRICA;;
OQ427394;1993;ARG;cow;FBR02520;;O;EUROPE-SOUTH-AMERICA-EURO-SA;;
OQ356340;2001;BRA;cow;FBR02756DI;;A;EUROPE-SOUTH-AMERICA-EURO-SA;;
OQ356349;2010;KEN;cow;FBR04313;;A;?';;
OQ356348;2017;IRQ;cow;FBR04302;;A;ASIA;Iran-05;
OQ356347;2008;EGY;cow;FBR04274;;A;AFRICA;;
OQ356345;2006;ARG;cow;FBR03587;;A;EUROPE-SOUTH-AMERICA-EURO-SA;;
OQ356344;2006;URY;cow;FBR03563;;A;EUROPE-SOUTH-AMERICA-EURO-SA;;
OQ356343;2003;ARG;cow;FBR03143;;A;EUROPE-SOUTH-AMERICA-EURO-SA;;
OQ356342;2001;ARG;cow;FBR02770;;A;EUROPE-SOUTH-AMERICA-EURO-SA;;
OQ356341;1970;BRA;cow;FBR01218;;A;EUROPE-SOUTH-AMERICA-EURO-SA;;
OQ256242;1969;ISR;cow;FBR00044;;A;EUROPE-SOUTH-AMERICA-EURO-SA;;
OQ238686;1971;DEU;cow;FBR00015;;A;EUROPE-SOUTH-AMERICA-EURO-SA;;
OQ238685;1990;ARG;cow;FBR00926;;A;EUROPE-SOUTH-AMERICA-EURO-SA;;
OQ211407;2007;;sheep;KVI_545682;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211406;2007;;sheep;KVI_548463*163;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211405;2007;;cattle;KVI_550746;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211404;2007;;cattle;KVI_546402*129;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211403;2007;;cattle;KVI_541556;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211402;2007;;cattle;KVI_(468)547412;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211401;2007;;cattle;KVI_(482)547412;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211400;2007;;cattle;KVI_547412;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211399;2007;;gazelle;KVI_546423*3;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211398;2007;;gazelle;KVI_546423 *2;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211397;2007;;sheep;KVI_547801;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211396;2007;;cattle;KVI_547793;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211394;2007;;cattle;KVI_544011;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211393;2007;;goat;KVI_546826;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211392;2007;;cattle;KVI_540421;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211391;2007;;cattle;KVI_(246)543181;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211390;2007;;cattle;KVI_(230)543181;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211389;2006;;goat;KVI_537323;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211388;2007;;sheep;KVI_541557;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211387;2007;;cattle;KVI_548593;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211386;2007;;cattle;KVI_540430;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211385;2007;;cattle;KVI_537746;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211384;2007;;cattle;KVI_547798;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211383;2007;;gazelle;KVI_546825*6;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211382;2007;;gazelle;KVI_546423*5;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211381;2007;;gazelle;KVI_546825*7;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211380;2007;;cattle;KVI_555455;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211378;2007;;cattle;KVI_550962;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211377;2007;;cattle;KVI_548856;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211376;2007;;cattle;KVI_549767;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211375;2007;;sheep;KVI_547615*149;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211374;2007;;cattle;KVI_540975;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211373;2007;;goat;KVI_547681#2;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211372;2007;;goat;KVI_547681#1;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211371;2007;;goat;KVI_550736*205;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211370;2007;;cattle;KVI_541840*2;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211369;2007;;cattle;KVI_540379;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211367;2007;;sheep;KVI_546398*138;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211366;2007;;sheep;KVI_542481;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211365;2007;;sheep;KVI_542681_palest2;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211364;2007;;sheep;KVI_543974*77;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211363;2007;;sheep;KVI_545681;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211362;2007;;sheep;KVI_545686;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211361;2007;;sheep;KVI_551141;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211360;2007;;cattle;KVI_548360;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211359;2007;;cattle;KVI_(745)548850;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211358;2007;;cattle;KVI_(193)548046;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211357;2007;;cattle;KVI_548645;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211356;2007;;cattle;KVI_(8)548046;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211355;2007;;cattle;KVI_539838;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211354;2007;;cattle;KVI_542477_1a;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211353;2007;;sheep;KVI_548013;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211352;2007;;cattle;KVI_545072;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211351;2007;;goat;KVI_543442;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211350;2007;;cattle;KVI_542757;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ211349;2007;;sheep;KVI_548461*161;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
OQ557397;2022;ETH;cow;ETH/2/2022;;SAT2;XIV;;
OQ557396;1991;ETH;cattle;ETH/2/91;;SAT2;XIV;;
OQ457195;2020;NER;cattle;NIG-PL-178-PLBK-033GF-2020;;O;EAST-AFRICA-3-EA-3;;
OQ457194;2020;NER;cattle;NIG-PL-175-PLBK-030GF-2020;;O;EAST-AFRICA-3-EA-3;;
OQ457193;2020;NER;cattle;NIG-PL-174-PLJN-029GF-2020;;O;EAST-AFRICA-3-EA-3;;
OQ457192;2020;NER;cattle;NIG-PL-173-PLJN-028GF-2020;;O;EAST-AFRICA-3-EA-3;;
OQ457191;2020;NER;cattle;NIG-PL-172-PLJN-027GF-2020;;O;EAST-AFRICA-3-EA-3;;
OQ457189;2020;NER;cattle;NIG-PL-169-PLJN-024GF-2020;;O;EAST-AFRICA-3-EA-3;;
OQ457188;2020;NER;cattle;NIG-PL-168-PLJN-023GF-2020;;O;EAST-AFRICA-3-EA-3;;
OQ457186;2020;NER;cattle;NIG-PL-165-PLJN-0120GF-2020;;O;EAST-AFRICA-3-EA-3;;
OQ457185;2020;NER;cattle;NIG-PL-164-PLJE-019GF-2020;;O;EAST-AFRICA-3-EA-3;;
OQ457184;2020;NER;cattle;NIG-PL-162-PLJE-017GF-2020;;O;EAST-AFRICA-3-EA-3;;
OQ745961;2016;THA;cattle;A/TAI/NP05/2016;;A;ASIA;Sea-97;
OQ401874;2020;NER;cattle;NIG-PL-157-PLBL-012GF-2020;;SAT2;VII;;
OQ401873;2020;NER;cattle;NIG-PL-156-PLBL-011GF-2020;;SAT2;VII;;
OQ401872;2020;NER;cattle;NIG-PL-155-PLBL-010GF-2020;;SAT2;VII;;
OQ401871;2020;NER;cattle;NIG-PL-154-PLBL-009GF-2020;;SAT2;VII;;
OQ401869;2020;NER;cattle;NIG-PL-152-PLBL-007GF-2020;;SAT2;VII;;
OQ401868;2020;NER;cattle;NIG-PL-151-PLBL-006GF-2020;;SAT2;VII;;
OQ401867;2020;NER;cattle;NIG-PL-149-PLBL-004GF-2020;;SAT2;VII;;
OQ401866;2020;NER;cattle;NIG-PL-148-PLBL-003GF-2020;;SAT2;VII;;
OQ401865;2020;NER;cattle;NIG-PL-147-PLBL-002GF-2020;;SAT2;VII;;
LC771233;2023;IRQ;water-buffalo;BASRAHB1;;A;AFRICA;;
LC770123;2023;IRQ;cattle;BASRAH1C;;SAT1;VII-EAST-AFRICA-2-EA-2;;
OP957418;2021;BGD;cattle;BAN/MY/My-466/2021;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
ON868623;2017;VNM;pig;O/VIT/17-19073/2017;;O;CATHAY;;
ON868622;2017;VNM;pig;O/VIT/17-17547/2017;;O;CATHAY;;
ON868621;2017;VNM;cow;A/VIT/DT-P057-3/2017_pro;;A;ASIA;Sea-97;
ON868620;2019;VNM;pig;O/VIT/19F-70/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868619;2019;VNM;pig;O/VIT/19F-48/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868618;2019;VNM;pig;O/VIT/19-6734/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868617;2019;VNM;pig;O/VIT/19F-50/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868616;2018;VNM;pig;O/VIT/18-993.4/2018;;O;SOUTHEAST-ASIA-SEA;;
ON868615;2018;VNM;pig;O/VIT/18F287/2018;;O;SOUTHEAST-ASIA-SEA;;
ON868614;2019;VNM;pig;O/VIT/19-5849/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868613;2019;VNM;pig;O/VIT/19F20/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868612;2019;VNM;pig;O/VIT/19F-63/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868611;2018;VNM;pig;O/VIT/18F261/2018;;O;SOUTHEAST-ASIA-SEA;;
ON868610;2019;VNM;pig;O/VIT/19F-69/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868609;2019;VNM;pig;O/VIT/19F-66/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868608;2019;VNM;pig;O/VIT/19F38/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868607;2019;VNM;pig;O/VIT/19F30/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868606;2019;VNM;pig;O/VIT/19F33/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868605;2019;VNM;pig;O/VIT/19F-57/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868604;2018;VNM;pig;O/VIT/18-1001.1/2018;;O;SOUTHEAST-ASIA-SEA;;
ON868603;2018;VNM;pig;O/VIT/18F238/2018;;O;SOUTHEAST-ASIA-SEA;;
ON868602;2019;VNM;pig;O/VIT/19F23/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868601;2018;VNM;pig;O/VIT/18F289/2018;;O;SOUTHEAST-ASIA-SEA;;
ON868600;2018;VNM;pig;O/VIT/18F292/2018;;O;SOUTHEAST-ASIA-SEA;;
ON868599;2019;VNM;pig;O/VIT/19F36/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868598;2018;VNM;pig;O/VIT/18-27409/2018;;O;SOUTHEAST-ASIA-SEA;;
ON868597;2019;VNM;pig;O/VIT/19-6521/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868596;2018;VNM;pig;O/VIT/18CD-1933.1/2018;;O;SOUTHEAST-ASIA-SEA;;
ON868595;2018;VNM;pig;O/VIT/18F271/2018;;O;SOUTHEAST-ASIA-SEA;;
ON868594;2019;VNM;pig;O/VIT/19F43/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868593;2018;VNM;pig;O/VIT/18-27160/2018;;O;SOUTHEAST-ASIA-SEA;;
ON868592;2018;VNM;pig;O/VIT/18-962.1/2018;;O;SOUTHEAST-ASIA-SEA;;
ON868591;2019;VNM;pig;O/VIT/19-4183/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868590;2019;VNM;pig;O/VIT/19-1446/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868589;2019;VNM;pig;O/VIT/19-1443/2019;;O;SOUTHEAST-ASIA-SEA;;
ON868588;2018;VNM;water-buffalo;O/VIT/LA-P30-11/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868587;2017;VNM;cow;O/VIT/DT-P037-3/2017_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868586;2017;VNM;cow;O/VIT/DT-P115-2/2017_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868585;2018;VNM;;O/VIT/DT-P-141-2/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868584;2017;VNM;cow;O/VIT/DT-P052-3/2017_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868583;2018;VNM;;O/VIT/NT-P-51-3/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868582;2018;VNM;cow;O/VIT/LA-P06-10/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868581;2018;VNM;cow;O/VIT/LA-P09-10/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868580;2017;VNM;cow;O/VIT/DL-P44-1/2017_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868579;2017;VNM;cow;O/VIT/17-15223/2017;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868578;2019;VNM;cow;O/VIT/DT-P31-4/2019_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868577;2018;VNM;;O/VIT/DT-P-143-2/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868576;2018;VNM;;O/VIT/DT-P-91-3/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868575;2018;VNM;;O/VIT/DT-P150-1/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868574;2018;VNM;cow;O/VIT/BK-P159-3/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868573;2019;VNM;;O/VIT/19-1423-45/2019_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868572;2019;VNM;cow;O/VIT/DT-P-31-3/2019_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868571;2018;VNM;cow;O/VIT/TN-P04-11/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868570;2019;VNM;;O/VIT/DL-P-246C-1/2019_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868569;2018;VNM;water-buffalo;O/VIT/BK-P101-1B/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868568;2018;VNM;cow;O/VIT/LA-P29-16/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868567;2018;VNM;water-buffalo;O/VIT/LS-P72-2/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868566;2018;VNM;cow;O/VIT/LA-P17-13/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868565;2019;VNM;cow;O/VIT/LAP03-13/2019_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868564;2018;VNM;cow;O/VIT/TN-P20-14/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868563;2018;VNM;water-buffalo;O/VIT/BK-P100-1/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868562;2019;VNM;cow;O/VIT/DT-P-28-3/2019_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868561;2019;VNM;cow;O/VIT/LAP03-21/2019_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868560;2018;VNM;cow;O/VIT/LA-P09-15/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868559;2018;VNM;;O/VIT/DT-P55-1/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868558;2019;VNM;cow;O/VIT/DT-P28-4/2019_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868557;2018;VNM;water-buffalo;O/VIT/18-11786/2018;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868556;2019;VNM;cow;O/VIT/LAP03-23/2019_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868555;2018;VNM;cow;O/VIT/TN-P09-16/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868552;2019;VNM;pig;O/VIT/19-4196/2019;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868551;2018;VNM;cow;O/VIT/TN-P06-16/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868550;2018;VNM;;O/VIT/LA-P26-10/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868549;2018;VNM;cow;O/VIT/18-2570/2018;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868548;2018;VNM;cow;O/VIT/TN-P29-13/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868547;2018;VNM;cow;O/VIT/18-9129/2018;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868546;2018;VNM;;O/VIT/DT-P-69-1/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868545;2018;VNM;cow;O/VIT/TN-P01-16/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868544;2018;VNM;;O/VIT/LA-P27-15/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868543;2018;VNM;;O/VIT/DT-P-119-3/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868542;2018;VNM;pig;O/VIT/18-3334/2018;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868541;2018;VNM;;O/VIT/DT-P-14-1/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868540;2018;VNM;water-buffalo;O/VIT/LA-P29-11/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868539;2018;VNM;cow;O/VIT/TN-P20-11/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868538;2018;VNM;cow;O/VIT/LA-P12-11/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868537;2018;VNM;;O/VIT/DT-P-72-1/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
ON868536;2018;VNM;cow;O/VIT/TN-P26-11/2018_pro;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;;
